#Time,Throughput1,Throughput2,Throughput3,Throughput4,Throughput5,TotalThroughput
0,107136.0,64728.0,51336.0,35712.0,110112.0,369024.0
1000000000,118296.0,81840.0,72168.0,55800.0,135408.0,463512.0
2000000000,119040.0,78864.0,69192.0,62496.0,123504.0,453096.0
3000000000,122760.0,79608.0,69192.0,57288.0,125736.0,454584.0
4000000000,121272.0,79608.0,67704.0,61752.0,134664.0,465000.0
5000000000,122760.0,79608.0,68448.0,59520.0,130200.0,460536.0
6000000000,119040.0,78120.0,73656.0,60264.0,127224.0,458304.0
7000000000,116064.0,79608.0,75888.0,58032.0,127224.0,456816.0
8000000000,122016.0,81840.0,66960.0,60264.0,127968.0,459048.0
9000000000,122760.0,81096.0,68448.0,59520.0,131688.0,463512.0
10000000000,122760.0,75144.0,72168.0,60264.0,127968.0,458304.0
11000000000,122016.0,78864.0,71424.0,58776.0,127224.0,458304.0
12000000000,122016.0,80352.0,72168.0,58776.0,133176.0,466488.0
13000000000,119784.0,78120.0,70680.0,59520.0,235848.0,563952.0
14000000000,123504.0,80352.0,71424.0,63240.0,321408.0,659928.0
15000000000,124248.0,78120.0,69192.0,60264.0,379440.0,711264.0
16000000000,119040.0,84072.0,68448.0,61752.0,430776.0,764088.0
17000000000,119784.0,78120.0,66960.0,58776.0,483600.0,807240.0
18000000000,124248.0,83328.0,73656.0,59520.0,531216.0,871968.0
19000000000,120528.0,78864.0,66216.0,61752.0,581808.0,909168.0
20000000000,124248.0,81840.0,72912.0,57288.0,630168.0,966456.0
21000000000,117552.0,81096.0,72168.0,61008.0,677784.0,1009608.0
22000000000,123504.0,81840.0,70680.0,57288.0,728376.0,1061688.0
23000000000,125736.0,81096.0,68448.0,59520.0,780456.0,1115256.0
24000000000,119040.0,78120.0,70680.0,58032.0,822864.0,1148736.0
25000000000,117552.0,78864.0,73656.0,61752.0,886848.0,1218672.0
26000000000,121272.0,77376.0,66960.0,61008.0,876432.0,1203048.0
27000000000,119784.0,83328.0,69192.0,61752.0,836256.0,1170312.0
28000000000,121272.0,81096.0,69936.0,61752.0,771528.0,1105584.0
29000000000,119040.0,83328.0,69936.0,62496.0,730608.0,1065408.0
30000000000,119784.0,78864.0,71424.0,58776.0,680760.0,1009608.0
31000000000,116808.0,80352.0,68448.0,57288.0,642072.0,964968.0
32000000000,123504.0,81840.0,70680.0,64728.0,583296.0,924048.0
33000000000,127968.0,81840.0,71424.0,59520.0,520800.0,861552.0
34000000000,122016.0,86304.0,72168.0,62496.0,465744.0,808728.0
35000000000,123504.0,78864.0,70680.0,58032.0,424080.0,755160.0
36000000000,117552.0,79608.0,70680.0,60264.0,373488.0,701592.0
37000000000,122760.0,80352.0,69936.0,57288.0,337776.0,668112.0
38000000000,122016.0,79608.0,70680.0,60264.0,229896.0,562464.0
39000000000,122016.0,79608.0,70680.0,61752.0,127224.0,461280.0
40000000000,116808.0,78120.0,70680.0,57288.0,136152.0,459048.0
41000000000,119784.0,77376.0,70680.0,61752.0,126480.0,456072.0
42000000000,120528.0,78120.0,69192.0,59520.0,130944.0,458304.0
43000000000,124992.0,81096.0,68448.0,58032.0,126480.0,459048.0
44000000000,121272.0,84072.0,72168.0,58776.0,124992.0,461280.0
45000000000,122016.0,76632.0,67704.0,58776.0,132432.0,457560.0
46000000000,117552.0,77376.0,66960.0,57288.0,129456.0,448632.0
47000000000,115320.0,79608.0,64728.0,56544.0,125736.0,441936.0
48000000000,116808.0,78864.0,68448.0,57288.0,126480.0,447888.0
49000000000,119040.0,79608.0,69936.0,58776.0,130944.0,458304.0
