#Time,Throughput1,Throughput2,Throughput3,Throughput4,Throughput5,TotalThroughput
0,0.211296,0.12648,0.101184,0.069936,0.217248,0.726144
1000000000,0.236592,0.16368,0.144336,0.113088,0.269328,0.927024
2000000000,0.236592,0.159216,0.136896,0.123504,0.248496,0.904704
3000000000,0.247008,0.159216,0.139872,0.114576,0.251472,0.912144
4000000000,0.242544,0.157728,0.135408,0.123504,0.26784,0.927024
5000000000,0.24552,0.159216,0.136896,0.11904,0.263376,0.924048
6000000000,0.23808,0.157728,0.147312,0.120528,0.25296,0.916608
7000000000,0.232128,0.159216,0.151776,0.117552,0.254448,0.91512
8000000000,0.24552,0.16368,0.132432,0.11904,0.257424,0.918096
9000000000,0.241056,0.162192,0.136896,0.11904,0.263376,0.92256
10000000000,0.248496,0.150288,0.145824,0.11904,0.25296,0.916608
11000000000,0.244032,0.157728,0.142848,0.11904,0.257424,0.921072
12000000000,0.244032,0.160704,0.142848,0.117552,0.264864,0.93
13000000000,0.2232,0.13392,0.127968,0.10416,0.403248,0.992496
14000000000,0.17856,0.124992,0.101184,0.09672,0.49848,0.999936
15000000000,0.174096,0.102672,0.108624,0.084816,0.529728,0.999936
16000000000,0.15624,0.107136,0.092256,0.0744,0.569904,0.999936
17000000000,0.145824,0.101184,0.084816,0.065472,0.60264,0.999936
18000000000,0.2232,0.145824,0.13392,0.108624,0.382416,0.993984
19000000000,0.235104,0.157728,0.130944,0.122016,0.352656,0.998448
20000000000,0.239568,0.15624,0.14136,0.114576,0.348192,0.999936
21000000000,0.227664,0.159216,0.14136,0.11904,0.352656,0.999936
22000000000,0.241056,0.157728,0.136896,0.1116,0.352656,0.999936
23000000000,0.24552,0.160704,0.132432,0.116064,0.345216,0.999936
24000000000,0.226176,0.15624,0.14136,0.117552,0.358608,0.999936
25000000000,0.229152,0.154752,0.144336,0.122016,0.34968,0.999936
26000000000,0.235104,0.151776,0.13392,0.120528,0.355632,0.99696
27000000000,0.233616,0.154752,0.13392,0.122016,0.355632,0.999936
28000000000,0.236592,0.159216,0.135408,0.11904,0.34968,0.999936
29000000000,0.233616,0.160704,0.132432,0.120528,0.352656,0.999936
30000000000,0.236592,0.159216,0.136896,0.114576,0.352656,0.999936
31000000000,0.233616,0.154752,0.136896,0.1116,0.358608,0.995472
32000000000,0.229152,0.153264,0.139872,0.12648,0.351168,0.999936
33000000000,0.248496,0.147312,0.135408,0.113088,0.355632,0.999936
34000000000,0.233616,0.166656,0.138384,0.11904,0.34224,0.999936
35000000000,0.239568,0.157728,0.14136,0.113088,0.348192,0.999936
36000000000,0.233616,0.154752,0.139872,0.11904,0.352656,0.999936
37000000000,0.23808,0.159216,0.13392,0.113088,0.354144,0.998448
38000000000,0.239568,0.153264,0.138384,0.11904,0.348192,0.998448
39000000000,0.247008,0.160704,0.14136,0.123504,0.258912,0.931488
40000000000,0.233616,0.157728,0.14136,0.114576,0.269328,0.916608
41000000000,0.239568,0.154752,0.14136,0.123504,0.254448,0.913632
42000000000,0.239568,0.15624,0.138384,0.11904,0.263376,0.916608
43000000000,0.251472,0.162192,0.136896,0.117552,0.251472,0.919584
44000000000,0.241056,0.166656,0.142848,0.116064,0.249984,0.916608
45000000000,0.247008,0.153264,0.136896,0.117552,0.266352,0.921072
46000000000,0.233616,0.15624,0.13392,0.114576,0.258912,0.897264
47000000000,0.229152,0.159216,0.129456,0.113088,0.25296,0.883872
48000000000,0.236592,0.15624,0.136896,0.113088,0.249984,0.8928
49000000000,0.235104,0.160704,0.138384,0.11904,0.261888,0.91512
