#Time, Throughput
0,0
1000000000,0
2000000000,0
3000000000,0
4000000000,0
5000000000,0
6000000000,0
7000000000,0
8000000000,0
9000000000,0
10000000000,0
11000000000,0
12000000000,0
13000000000,50592.0
14000000000,163680.0
15000000000,209064.0
16000000000,266352.0
17000000000,314712.0
18000000000,354888.0
19000000000,415896.0
20000000000,460536.0
21000000000,516336.0
22000000000,53568.0
23000000000,12648.0
24000000000,5952.0
25000000000,17112.0
26000000000,25296.0
27000000000,8184.0
28000000000,9672.0
29000000000,10416.0
30000000000,2232.0
31000000000,8928.0
32000000000,4464.0
33000000000,15624.0
34000000000,15624.0
35000000000,14136.0
36000000000,16368.0
37000000000,20832.0
38000000000,17112.0
39000000000,0
40000000000,0
41000000000,0
42000000000,0
43000000000,0
44000000000,0
45000000000,0
46000000000,0
47000000000,0
48000000000,0
49000000000,0
