#Time,Throughput1,Throughput2,Throughput3,Throughput4,Throughput5,TotalThroughput
0,0.209808,0.123504,0.09672,0.068448,0.206832,0.705312
1000000000,0.236592,0.168144,0.13392,0.116064,0.257424,0.912144
2000000000,0.242544,0.159216,0.144336,0.122016,0.261888,0.93
3000000000,0.227664,0.159216,0.14136,0.116064,0.2604,0.904704
4000000000,0.24552,0.162192,0.14136,0.120528,0.258912,0.928512
5000000000,0.23808,0.16368,0.142848,0.116064,0.261888,0.92256
6000000000,0.239568,0.15624,0.142848,0.11904,0.2604,0.918096
7000000000,0.23064,0.160704,0.135408,0.120528,0.258912,0.906192
8000000000,0.239568,0.15624,0.145824,0.123504,0.261888,0.927024
9000000000,0.235104,0.165168,0.136896,0.122016,0.26784,0.927024
10000000000,0.242544,0.151776,0.142848,0.12648,0.25296,0.916608
11000000000,0.23808,0.157728,0.142848,0.12648,0.261888,0.927024
12000000000,0.236592,0.151776,0.129456,0.123504,0.278256,0.919584
13000000000,0.205344,0.1488,0.123504,0.108624,0.410688,0.99696
14000000000,0.184512,0.11904,0.10416,0.078864,0.51336,0.999936
15000000000,0.159216,0.10416,0.1116,0.078864,0.546096,0.999936
16000000000,0.194928,0.12648,0.10416,0.092256,0.482112,0.999936
17000000000,0.194928,0.145824,0.110112,0.095232,0.45384,0.999936
18000000000,0.20832,0.123504,0.107136,0.10416,0.456816,0.999936
19000000000,0.206832,0.138384,0.108624,0.092256,0.45384,0.999936
20000000000,0.191952,0.132432,0.113088,0.105648,0.456816,0.999936
21000000000,0.199392,0.132432,0.1116,0.105648,0.450864,0.999936
22000000000,0.196416,0.129456,0.1116,0.101184,0.46128,0.999936
23000000000,0.206832,0.124992,0.113088,0.102672,0.452352,0.999936
24000000000,0.191952,0.123504,0.117552,0.107136,0.459792,0.999936
25000000000,0.20088,0.127968,0.110112,0.098208,0.46128,0.998448
26000000000,0.196416,0.123504,0.124992,0.102672,0.452352,0.999936
27000000000,0.197904,0.124992,0.123504,0.105648,0.447888,0.999936
28000000000,0.20832,0.120528,0.117552,0.093744,0.459792,0.999936
29000000000,0.20832,0.132432,0.122016,0.101184,0.435984,0.999936
30000000000,0.211296,0.135408,0.1116,0.092256,0.449376,0.999936
31000000000,0.197904,0.132432,0.120528,0.099696,0.449376,0.999936
32000000000,0.20088,0.135408,0.11904,0.099696,0.444912,0.999936
33000000000,0.19344,0.132432,0.116064,0.093744,0.464256,0.999936
34000000000,0.202368,0.123504,0.107136,0.1116,0.455328,0.999936
35000000000,0.202368,0.124992,0.114576,0.107136,0.450864,0.999936
36000000000,0.196416,0.138384,0.113088,0.102672,0.449376,0.999936
37000000000,0.206832,0.139872,0.113088,0.092256,0.447888,0.999936
38000000000,0.220224,0.138384,0.124992,0.10416,0.410688,0.998448
39000000000,0.233616,0.165168,0.135408,0.11904,0.261888,0.91512
40000000000,0.2604,0.157728,0.138384,0.122016,0.263376,0.941904
41000000000,0.239568,0.162192,0.139872,0.113088,0.257424,0.912144
42000000000,0.244032,0.166656,0.136896,0.114576,0.2604,0.92256
43000000000,0.248496,0.157728,0.135408,0.11904,0.269328,0.93
44000000000,0.251472,0.162192,0.132432,0.117552,0.261888,0.925536
45000000000,0.232128,0.157728,0.151776,0.116064,0.24552,0.903216
46000000000,0.236592,0.153264,0.139872,0.122016,0.269328,0.921072
47000000000,0.242544,0.160704,0.150288,0.122016,0.261888,0.93744
48000000000,0.241056,0.157728,0.139872,0.120528,0.263376,0.92256
49000000000,0.23064,0.153264,0.139872,0.122016,0.261888,0.90768
