#Time, Throughput
0,0
1000000000,0
2000000000,0
3000000000,0
4000000000,0
5000000000,0
6000000000,0
7000000000,0
8000000000,0
9000000000,0
10000000000,0
11000000000,0
12000000000,0
13000000000,58776.0
14000000000,167400.0
15000000000,209808.0
16000000000,264864.0
17000000000,307272.0
18000000000,355632.0
19000000000,322896.0
20000000000,306528.0
21000000000,316944.0
22000000000,313224.0
23000000000,319176.0
24000000000,322896.0
25000000000,308016.0
26000000000,319176.0
27000000000,325872.0
28000000000,318432.0
29000000000,314712.0
30000000000,323640.0
31000000000,321408.0
32000000000,312480.0
33000000000,324384.0
34000000000,319920.0
35000000000,239568.0
36000000000,209808.0
37000000000,164424.0
38000000000,61752.0
39000000000,1488.0
40000000000,0
41000000000,0
42000000000,0
43000000000,0
44000000000,0
45000000000,0
46000000000,0
47000000000,0
48000000000,0
49000000000,0
