#Time,Throughput1,Throughput2,Throughput3,Throughput4,Throughput5,TotalThroughput
0,110112.0,67704.0,52080.0,36456.0,105648.0,372000.0
1000000000,117552.0,80352.0,72168.0,62496.0,130944.0,463512.0
2000000000,119784.0,78120.0,69192.0,57288.0,133920.0,458304.0
3000000000,123504.0,79608.0,67704.0,60264.0,132432.0,463512.0
4000000000,114576.0,81096.0,65472.0,64728.0,128712.0,454584.0
5000000000,122016.0,84072.0,72168.0,64728.0,127968.0,470952.0
6000000000,115320.0,82584.0,70680.0,61008.0,129456.0,459048.0
7000000000,122016.0,80352.0,75144.0,59520.0,127224.0,464256.0
8000000000,123504.0,82584.0,69936.0,59520.0,127224.0,462768.0
9000000000,119040.0,83328.0,68448.0,56544.0,130200.0,457560.0
10000000000,117552.0,82584.0,69192.0,61752.0,133920.0,465000.0
11000000000,119784.0,81096.0,67704.0,60264.0,128712.0,457560.0
12000000000,123504.0,83328.0,69936.0,61008.0,132432.0,470208.0
13000000000,121272.0,74400.0,72912.0,57288.0,226176.0,552048.0
14000000000,116808.0,76632.0,69192.0,62496.0,334800.0,659928.0
15000000000,117552.0,80352.0,66960.0,58776.0,380928.0,704568.0
16000000000,116808.0,83328.0,69192.0,63984.0,424824.0,758136.0
17000000000,119040.0,83328.0,75888.0,61752.0,490296.0,830304.0
18000000000,121272.0,76632.0,71424.0,57288.0,530472.0,857088.0
19000000000,122760.0,79608.0,69192.0,56544.0,586272.0,914376.0
20000000000,116808.0,80352.0,72912.0,60264.0,635376.0,965712.0
21000000000,124248.0,80352.0,68448.0,60264.0,682992.0,1016304.0
22000000000,122760.0,79608.0,71424.0,58032.0,729864.0,1061688.0
23000000000,124248.0,75888.0,72168.0,58776.0,790128.0,1121208.0
24000000000,122016.0,78120.0,67704.0,59520.0,823608.0,1150968.0
25000000000,118296.0,84072.0,70680.0,59520.0,898008.0,1230576.0
26000000000,121272.0,79608.0,66960.0,60264.0,883128.0,1211232.0
27000000000,120528.0,78120.0,73656.0,58776.0,826584.0,1157664.0
28000000000,119040.0,78864.0,71424.0,61752.0,775248.0,1106328.0
29000000000,118296.0,77376.0,68448.0,61752.0,724656.0,1050528.0
30000000000,120528.0,78120.0,69936.0,64728.0,677784.0,1011096.0
31000000000,116808.0,77376.0,68448.0,60264.0,630168.0,953064.0
32000000000,120528.0,82584.0,68448.0,55800.0,577344.0,904704.0
33000000000,116064.0,81096.0,67704.0,58776.0,532704.0,856344.0
34000000000,122016.0,81096.0,69192.0,60264.0,476904.0,809472.0
35000000000,122016.0,81096.0,66960.0,61008.0,435984.0,767064.0
36000000000,124248.0,81840.0,72168.0,61008.0,383904.0,723168.0
37000000000,121272.0,80352.0,66960.0,55056.0,329592.0,653232.0
38000000000,119784.0,77376.0,66960.0,59520.0,234360.0,558000.0
39000000000,114576.0,81840.0,68448.0,60264.0,133176.0,458304.0
40000000000,120528.0,79608.0,72912.0,62496.0,130944.0,466488.0
41000000000,121272.0,81096.0,70680.0,61008.0,125736.0,459792.0
42000000000,122016.0,76632.0,70680.0,58776.0,129456.0,457560.0
43000000000,114576.0,80352.0,67704.0,58776.0,135408.0,456816.0
44000000000,115320.0,84072.0,67704.0,59520.0,130200.0,456816.0
45000000000,117552.0,79608.0,72912.0,61008.0,136152.0,467232.0
46000000000,119784.0,81840.0,68448.0,59520.0,130200.0,459792.0
47000000000,120528.0,80352.0,67704.0,60264.0,138384.0,467232.0
48000000000,117552.0,78120.0,67704.0,61008.0,127968.0,452352.0
49000000000,117552.0,81096.0,72168.0,66216.0,133920.0,470952.0
