#Time,Throughput1,Throughput2,Throughput3,Throughput4,Throughput5,TotalThroughput
0,63984.0,46872.0,48360.0,105648.0,89280.0,354144.0
1000000000,118296.0,78120.0,74400.0,129456.0,98952.0,499224.0
2000000000,120528.0,77376.0,69192.0,130200.0,93744.0,491040.0
3000000000,120528.0,80352.0,72168.0,127968.0,102672.0,503688.0
4000000000,121272.0,80352.0,69192.0,125736.0,98208.0,494760.0
5000000000,122016.0,77376.0,73656.0,132432.0,104904.0,510384.0
6000000000,114576.0,75888.0,69936.0,131688.0,602640.0,994728.0
7000000000,119784.0,80352.0,69936.0,130200.0,598920.0,999192.0
8000000000,120528.0,81096.0,71424.0,128712.0,601896.0,1003656.0
9000000000,117552.0,78864.0,72168.0,127968.0,594456.0,991008.0
10000000000,119784.0,80352.0,70680.0,135408.0,599664.0,1005888.0
11000000000,118296.0,77376.0,71424.0,132432.0,98952.0,498480.0
12000000000,121272.0,78120.0,70680.0,125736.0,98208.0,494016.0
13000000000,121272.0,81096.0,72912.0,125736.0,101184.0,502200.0
14000000000,116064.0,79608.0,72168.0,126480.0,96720.0,491040.0
15000000000,122016.0,78120.0,72168.0,130200.0,101928.0,504432.0
16000000000,119040.0,78864.0,67704.0,128712.0,601152.0,995472.0
17000000000,115320.0,79608.0,71424.0,130200.0,601896.0,998448.0
18000000000,119784.0,83328.0,66216.0,130200.0,598176.0,997704.0
19000000000,119040.0,82584.0,72168.0,130200.0,595944.0,999936.0
20000000000,122016.0,78864.0,72912.0,132432.0,590736.0,996960.0
21000000000,119784.0,81096.0,69192.0,132432.0,95232.0,497736.0
22000000000,117552.0,81840.0,71424.0,124248.0,103416.0,498480.0
23000000000,115320.0,78864.0,68448.0,130200.0,103416.0,496248.0
24000000000,120528.0,82584.0,69192.0,130200.0,99696.0,502200.0
25000000000,119784.0,82584.0,73656.0,130200.0,97464.0,503688.0
26000000000,122016.0,81840.0,70680.0,129456.0,598920.0,1002912.0
27000000000,119784.0,76632.0,68448.0,130944.0,606360.0,1002168.0
28000000000,119784.0,81096.0,66960.0,134664.0,601152.0,1003656.0
29000000000,122016.0,82584.0,70680.0,133176.0,604128.0,1012584.0
30000000000,119784.0,75888.0,69192.0,123504.0,598920.0,987288.0
31000000000,117552.0,81840.0,72912.0,129456.0,101928.0,503688.0
32000000000,120528.0,79608.0,68448.0,132432.0,96720.0,497736.0
33000000000,119040.0,80352.0,69192.0,130200.0,104904.0,503688.0
34000000000,118296.0,82584.0,72168.0,130200.0,102672.0,505920.0
35000000000,117552.0,78120.0,67704.0,132432.0,99696.0,495504.0
36000000000,118296.0,77376.0,69192.0,131688.0,592968.0,989520.0
37000000000,118296.0,78864.0,66960.0,125736.0,596688.0,986544.0
38000000000,119784.0,78864.0,69936.0,133920.0,589248.0,991752.0
39000000000,121272.0,75888.0,72168.0,126480.0,612312.0,1008120.0
40000000000,121272.0,79608.0,71424.0,130944.0,601896.0,1005144.0
41000000000,123504.0,80352.0,69936.0,130200.0,99696.0,503688.0
42000000000,120528.0,77376.0,68448.0,129456.0,101184.0,496992.0
43000000000,124992.0,81096.0,69936.0,126480.0,97464.0,499968.0
44000000000,119784.0,80352.0,67704.0,129456.0,103416.0,500712.0
45000000000,123504.0,78864.0,68448.0,128712.0,100440.0,499968.0
46000000000,113088.0,78864.0,68448.0,124248.0,98952.0,483600.0
47000000000,119784.0,78864.0,70680.0,131688.0,98208.0,499224.0
48000000000,122016.0,78120.0,72168.0,133176.0,99696.0,505176.0
49000000000,119784.0,81096.0,70680.0,131688.0,100440.0,503688.0
