#Time,Throughput1,Throughput2,Throughput3,Throughput4,Throughput5,TotalThroughput
0,0.120528,0.090768,0.095232,0.203856,0.174096,0.68448
1000000000,0.23808,0.154752,0.147312,0.261888,0.197904,0.999936
2000000000,0.241056,0.15624,0.138384,0.261888,0.188976,0.986544
3000000000,0.242544,0.159216,0.144336,0.251472,0.20088,0.998448
4000000000,0.239568,0.160704,0.138384,0.251472,0.194928,0.985056
5000000000,0.233616,0.150288,0.144336,0.258912,0.205344,0.992496
6000000000,0.15624,0.10416,0.080352,0.17112,0.488064,0.999936
7000000000,0.150288,0.099696,0.087792,0.177072,0.485088,0.999936
8000000000,0.150288,0.110112,0.095232,0.17112,0.473184,0.999936
9000000000,0.162192,0.105648,0.092256,0.15624,0.4836,0.999936
10000000000,0.168144,0.110112,0.08184,0.172608,0.467232,0.999936
11000000000,0.236592,0.150288,0.139872,0.258912,0.197904,0.983568
12000000000,0.242544,0.159216,0.142848,0.254448,0.197904,0.99696
13000000000,0.244032,0.160704,0.142848,0.248496,0.20088,0.99696
14000000000,0.23064,0.159216,0.145824,0.254448,0.19344,0.983568
15000000000,0.241056,0.153264,0.14136,0.2604,0.20088,0.99696
16000000000,0.138384,0.098208,0.090768,0.142848,0.529728,0.999936
17000000000,0.139872,0.105648,0.080352,0.144336,0.529728,0.999936
18000000000,0.157728,0.108624,0.090768,0.1488,0.494016,0.999936
19000000000,0.139872,0.101184,0.09672,0.16368,0.49848,0.999936
20000000000,0.160704,0.086304,0.09672,0.162192,0.494016,0.999936
21000000000,0.236592,0.160704,0.136896,0.258912,0.194928,0.988032
22000000000,0.235104,0.16368,0.14136,0.247008,0.205344,0.992496
23000000000,0.233616,0.157728,0.138384,0.2604,0.20832,0.998448
24000000000,0.23808,0.165168,0.138384,0.261888,0.196416,0.999936
25000000000,0.23808,0.16368,0.142848,0.257424,0.194928,0.99696
26000000000,0.130944,0.083328,0.078864,0.153264,0.555024,1.001424
27000000000,0.151776,0.092256,0.072912,0.150288,0.532704,0.999936
28000000000,0.14136,0.098208,0.075888,0.147312,0.537168,0.999936
29000000000,0.153264,0.098208,0.092256,0.15624,0.499968,0.999936
30000000000,0.12648,0.092256,0.086304,0.154752,0.540144,0.999936
31000000000,0.232128,0.159216,0.145824,0.25296,0.203856,0.993984
32000000000,0.239568,0.160704,0.135408,0.263376,0.19344,0.992496
33000000000,0.233616,0.151776,0.136896,0.257424,0.209808,0.98952
34000000000,0.236592,0.16368,0.142848,0.255936,0.20088,0.999936
35000000000,0.233616,0.157728,0.136896,0.264864,0.199392,0.992496
36000000000,0.132432,0.084816,0.095232,0.16368,0.523776,0.999936
37000000000,0.150288,0.10416,0.086304,0.138384,0.5208,0.999936
38000000000,0.138384,0.116064,0.078864,0.177072,0.489552,0.999936
39000000000,0.160704,0.095232,0.08184,0.1488,0.51336,0.999936
40000000000,0.142848,0.099696,0.105648,0.174096,0.477648,0.999936
41000000000,0.239568,0.157728,0.13392,0.257424,0.205344,0.993984
42000000000,0.244032,0.153264,0.138384,0.254448,0.197904,0.988032
43000000000,0.24552,0.159216,0.138384,0.255936,0.194928,0.993984
44000000000,0.244032,0.154752,0.13392,0.255936,0.203856,0.992496
45000000000,0.242544,0.157728,0.136896,0.254448,0.202368,0.993984
46000000000,0.229152,0.159216,0.135408,0.251472,0.197904,0.973152
47000000000,0.23808,0.157728,0.142848,0.263376,0.196416,0.998448
48000000000,0.241056,0.154752,0.144336,0.261888,0.197904,0.999936
49000000000,0.239568,0.159216,0.139872,0.261888,0.197904,0.998448
