#Time,Throughput1,Throughput2,Throughput3,Throughput4,Throughput5,TotalThroughput
0,62496.0,50592.0,47616.0,107880.0,93744.0,362328.0
1000000000,122760.0,81840.0,66960.0,130944.0,101184.0,503688.0
2000000000,124992.0,78864.0,70680.0,131688.0,100440.0,506664.0
3000000000,125736.0,80352.0,67704.0,130200.0,94488.0,498480.0
4000000000,121272.0,81096.0,70680.0,128712.0,104160.0,505920.0
5000000000,119784.0,78864.0,69936.0,135408.0,95976.0,499968.0
6000000000,125736.0,84816.0,70680.0,130944.0,50149320.0,50561496.0
7000000000,120528.0,77376.0,69936.0,133920.0,50145600.0,50547360.0
8000000000,122760.0,83328.0,72168.0,127968.0,49999032.0,50405256.0
9000000000,119040.0,83328.0,71424.0,127224.0,50128488.0,50529504.0
10000000000,120528.0,81096.0,69936.0,128712.0,50191728.0,50592000.0
11000000000,122760.0,79608.0,68448.0,132432.0,99696.0,502944.0
12000000000,119784.0,78120.0,72168.0,127968.0,100440.0,498480.0
13000000000,117552.0,81096.0,70680.0,130200.0,99696.0,499224.0
14000000000,121272.0,76632.0,69192.0,128712.0,98208.0,494016.0
15000000000,116808.0,77376.0,68448.0,130200.0,106392.0,499224.0
16000000000,122760.0,81096.0,66960.0,130200.0,50150808.0,50551824.0
17000000000,123504.0,78120.0,69936.0,126480.0,50088312.0,50486352.0
18000000000,118296.0,81840.0,72168.0,130200.0,50097240.0,50499744.0
19000000000,121272.0,76632.0,69936.0,127968.0,50189496.0,50585304.0
20000000000,116808.0,79608.0,69936.0,127968.0,50077152.0,50471472.0
21000000000,116808.0,82584.0,70680.0,129456.0,99696.0,499224.0
22000000000,121272.0,81096.0,75144.0,131688.0,101928.0,511128.0
23000000000,116808.0,78864.0,69192.0,135408.0,102672.0,502944.0
24000000000,124248.0,78120.0,71424.0,130200.0,96720.0,500712.0
25000000000,119784.0,81096.0,71424.0,130944.0,99696.0,502944.0
26000000000,122760.0,79608.0,70680.0,122016.0,50023584.0,50418648.0
27000000000,117552.0,81840.0,64728.0,128712.0,50001264.0,50394096.0
28000000000,123504.0,83328.0,66960.0,130200.0,50022096.0,50426088.0
29000000000,118296.0,78864.0,72912.0,130944.0,50036232.0,50437248.0
30000000000,122016.0,81840.0,70680.0,136152.0,50078640.0,50489328.0
31000000000,122016.0,81096.0,69192.0,135408.0,101184.0,508896.0
32000000000,115320.0,77376.0,69192.0,129456.0,94488.0,485832.0
33000000000,116808.0,80352.0,66960.0,131688.0,104904.0,500712.0
34000000000,119784.0,78120.0,69192.0,130944.0,97464.0,495504.0
35000000000,122016.0,76632.0,68448.0,134664.0,99696.0,501456.0
36000000000,122016.0,80352.0,68448.0,129456.0,49961832.0,50362104.0
37000000000,121272.0,80352.0,71424.0,127968.0,50051856.0,50452872.0
38000000000,125736.0,83328.0,71424.0,127224.0,50144856.0,50552568.0
39000000000,129456.0,81096.0,69192.0,130944.0,50089800.0,50500488.0
40000000000,120528.0,81840.0,70680.0,127968.0,50168664.0,50569680.0
41000000000,124992.0,80352.0,71424.0,130200.0,101184.0,508152.0
42000000000,120528.0,79608.0,69192.0,131688.0,99696.0,500712.0
43000000000,120528.0,80352.0,69192.0,130944.0,94488.0,495504.0
44000000000,123504.0,81096.0,72168.0,137640.0,99696.0,514104.0
45000000000,116808.0,81840.0,71424.0,130200.0,98952.0,499224.0
46000000000,122760.0,82584.0,69192.0,130200.0,103416.0,508152.0
47000000000,119784.0,82584.0,68448.0,129456.0,102672.0,502944.0
48000000000,121272.0,75888.0,66960.0,134664.0,99696.0,498480.0
49000000000,120528.0,79608.0,72912.0,133176.0,98208.0,504432.0
