#Time,Throughput1,Throughput2,Throughput3,Throughput4,Throughput5,TotalThroughput
0,59520.0,49104.0,54312.0,105648.0,87792.0,356376.0
1000000000,119784.0,81096.0,70680.0,129456.0,102672.0,503688.0
2000000000,121272.0,80352.0,71424.0,128712.0,100440.0,502200.0
3000000000,115320.0,81840.0,73656.0,130944.0,101928.0,503688.0
4000000000,126480.0,78864.0,70680.0,127224.0,103416.0,506664.0
5000000000,118296.0,78864.0,70680.0,125736.0,97464.0,491040.0
6000000000,121272.0,79608.0,72168.0,127224.0,50089056.0,50489328.0
7000000000,121272.0,80352.0,69192.0,128712.0,50124768.0,50524296.0
8000000000,116808.0,81096.0,69936.0,132432.0,50120304.0,50520576.0
9000000000,124248.0,81840.0,71424.0,126480.0,50013912.0,50417904.0
10000000000,120528.0,82584.0,68448.0,133920.0,50114352.0,50519832.0
11000000000,120528.0,78120.0,71424.0,130944.0,97464.0,498480.0
12000000000,122016.0,77376.0,66960.0,123504.0,98952.0,488808.0
13000000000,118296.0,78864.0,70680.0,129456.0,105648.0,502944.0
14000000000,123504.0,81840.0,67704.0,125736.0,97464.0,496248.0
15000000000,120528.0,81840.0,69192.0,132432.0,99696.0,503688.0
16000000000,119040.0,77376.0,70680.0,130200.0,50002008.0,50399304.0
17000000000,117552.0,75888.0,73656.0,132432.0,50106168.0,50505696.0
18000000000,119784.0,77376.0,68448.0,133176.0,50004240.0,50403024.0
19000000000,122016.0,78864.0,68448.0,133920.0,50157504.0,50560752.0
20000000000,128712.0,79608.0,72168.0,132432.0,50042184.0,50455104.0
21000000000,119784.0,78864.0,67704.0,131688.0,101928.0,499968.0
22000000000,125736.0,79608.0,69936.0,127224.0,100440.0,502944.0
23000000000,122760.0,79608.0,72168.0,126480.0,96720.0,497736.0
24000000000,122760.0,78864.0,72168.0,130200.0,94488.0,498480.0
25000000000,119040.0,79608.0,67704.0,133176.0,99696.0,499224.0
26000000000,120528.0,78864.0,69192.0,124248.0,50090544.0,50483376.0
27000000000,123504.0,75888.0,70680.0,130200.0,49984896.0,50385168.0
28000000000,116808.0,75888.0,67704.0,130200.0,50115096.0,50505696.0
29000000000,117552.0,80352.0,67704.0,130200.0,50162712.0,50558520.0
30000000000,120528.0,79608.0,70680.0,128712.0,50089056.0,50488584.0
31000000000,123504.0,84816.0,69936.0,127968.0,101184.0,507408.0
32000000000,122016.0,80352.0,71424.0,133920.0,98952.0,506664.0
33000000000,119040.0,78864.0,73656.0,127968.0,101928.0,501456.0
34000000000,125736.0,81096.0,71424.0,136152.0,100440.0,514848.0
35000000000,119040.0,81096.0,66960.0,127968.0,101184.0,496248.0
36000000000,124248.0,80352.0,66960.0,131688.0,50107656.0,50510904.0
37000000000,120528.0,79608.0,71424.0,128712.0,50124024.0,50524296.0
38000000000,123504.0,75144.0,69192.0,136152.0,49996800.0,50400792.0
39000000000,121272.0,80352.0,69936.0,129456.0,50052600.0,50453616.0
40000000000,120528.0,77376.0,72168.0,127224.0,50096496.0,50493792.0
41000000000,116808.0,79608.0,72168.0,133176.0,98208.0,499968.0
42000000000,120528.0,77376.0,70680.0,129456.0,104904.0,502944.0
43000000000,122016.0,79608.0,65472.0,132432.0,98952.0,498480.0
44000000000,120528.0,80352.0,68448.0,132432.0,103416.0,505176.0
45000000000,116064.0,80352.0,67704.0,133176.0,100440.0,497736.0
46000000000,122016.0,82584.0,68448.0,133176.0,101184.0,507408.0
47000000000,120528.0,77376.0,67704.0,134664.0,95232.0,495504.0
48000000000,118296.0,84072.0,67704.0,130944.0,99696.0,500712.0
49000000000,119040.0,81840.0,69192.0,136896.0,100440.0,507408.0
