#Time,Throughput1,Throughput2,Throughput3,Throughput4,Throughput5,TotalThroughput
0,0.217248,0.12648,0.099696,0.069936,0.214272,0.727632
1000000000,0.239568,0.153264,0.142848,0.127968,0.27528,0.938928
2000000000,0.23808,0.159216,0.144336,0.12648,0.264864,0.932976
3000000000,0.244032,0.16368,0.145824,0.11904,0.264864,0.93744
4000000000,0.239568,0.153264,0.132432,0.11904,0.255936,0.90024
5000000000,0.242544,0.162192,0.142848,0.120528,0.258912,0.927024
6000000000,0.241056,0.166656,0.132432,0.11904,0.266352,0.925536
7000000000,0.227664,0.160704,0.14136,0.120528,0.257424,0.90768
8000000000,0.235104,0.15624,0.135408,0.11904,0.255936,0.901728
9000000000,0.23808,0.162192,0.1488,0.120528,0.263376,0.932976
10000000000,0.232128,0.162192,0.14136,0.120528,0.263376,0.919584
11000000000,0.233616,0.159216,0.135408,0.120528,0.257424,0.906192
12000000000,0.236592,0.162192,0.145824,0.117552,0.251472,0.913632
13000000000,0.211296,0.145824,0.12648,0.117552,0.397296,0.998448
14000000000,0.190464,0.120528,0.093744,0.090768,0.504432,0.999936
15000000000,0.153264,0.11904,0.101184,0.077376,0.549072,0.999936
16000000000,0.229152,0.150288,0.130944,0.114576,0.352656,0.977616
17000000000,0.236592,0.157728,0.136896,0.114576,0.321408,0.9672
18000000000,0.242544,0.162192,0.142848,0.113088,0.313968,0.97464
19000000000,0.233616,0.157728,0.139872,0.127968,0.321408,0.980592
20000000000,0.23064,0.154752,0.14136,0.116064,0.330336,0.973152
21000000000,0.247008,0.153264,0.135408,0.127968,0.318432,0.98208
22000000000,0.242544,0.168144,0.132432,0.122016,0.318432,0.983568
23000000000,0.23808,0.160704,0.14136,0.120528,0.322896,0.983568
24000000000,0.247008,0.159216,0.142848,0.113088,0.322896,0.985056
25000000000,0.241056,0.157728,0.144336,0.120528,0.324384,0.988032
26000000000,0.242544,0.15624,0.144336,0.122016,0.31992,0.985056
27000000000,0.247008,0.157728,0.138384,0.114576,0.325872,0.983568
28000000000,0.239568,0.159216,0.135408,0.122016,0.322896,0.979104
29000000000,0.236592,0.160704,0.138384,0.114576,0.325872,0.976128
30000000000,0.239568,0.159216,0.13392,0.123504,0.321408,0.977616
31000000000,0.242544,0.166656,0.14136,0.120528,0.316944,0.988032
32000000000,0.236592,0.159216,0.136896,0.120528,0.318432,0.971664
33000000000,0.232128,0.159216,0.136896,0.116064,0.324384,0.968688
34000000000,0.23808,0.157728,0.144336,0.120528,0.316944,0.977616
35000000000,0.224688,0.165168,0.136896,0.11904,0.31992,0.965712
36000000000,0.233616,0.160704,0.138384,0.120528,0.316944,0.970176
37000000000,0.241056,0.154752,0.14136,0.11904,0.31992,0.976128
38000000000,0.239568,0.159216,0.144336,0.120528,0.306528,0.970176
39000000000,0.248496,0.15624,0.142848,0.117552,0.2604,0.925536
40000000000,0.241056,0.154752,0.139872,0.122016,0.270816,0.928512
41000000000,0.2232,0.159216,0.132432,0.116064,0.257424,0.888336
42000000000,0.23808,0.159216,0.14136,0.114576,0.255936,0.909168
43000000000,0.241056,0.160704,0.145824,0.113088,0.263376,0.924048
44000000000,0.23808,0.160704,0.135408,0.11904,0.257424,0.910656
45000000000,0.23808,0.159216,0.138384,0.116064,0.263376,0.91512
46000000000,0.241056,0.162192,0.136896,0.122016,0.264864,0.927024
47000000000,0.241056,0.154752,0.142848,0.120528,0.257424,0.916608
48000000000,0.244032,0.166656,0.136896,0.120528,0.258912,0.927024
49000000000,0.244032,0.160704,0.14136,0.116064,0.261888,0.924048
