#Time,Throughput1,Throughput2,Throughput3,Throughput4,Throughput5,TotalThroughput
0,116064.0,66960.0,49848.0,33480.0,107880.0,374232.0
1000000000,119040.0,79608.0,68448.0,55056.0,132432.0,454584.0
2000000000,121272.0,77376.0,71424.0,61752.0,126480.0,458304.0
3000000000,118296.0,81096.0,68448.0,62496.0,132432.0,462768.0
4000000000,117552.0,75888.0,71424.0,58776.0,130200.0,453840.0
5000000000,119784.0,82584.0,69936.0,57288.0,131688.0,461280.0
6000000000,119784.0,81096.0,69192.0,60264.0,127968.0,458304.0
7000000000,119784.0,81096.0,72168.0,58776.0,142104.0,473928.0
8000000000,125736.0,78864.0,64728.0,58776.0,132432.0,460536.0
9000000000,120528.0,78120.0,71424.0,57288.0,130200.0,457560.0
10000000000,122760.0,81840.0,72168.0,61008.0,127968.0,465744.0
11000000000,119784.0,81096.0,66960.0,58776.0,127968.0,454584.0
12000000000,121272.0,78864.0,72912.0,55800.0,132432.0,461280.0
13000000000,113088.0,81840.0,70680.0,60264.0,225432.0,551304.0
14000000000,122760.0,83328.0,67704.0,61008.0,331824.0,666624.0
15000000000,116064.0,80352.0,71424.0,60264.0,381672.0,709776.0
16000000000,122760.0,80352.0,70680.0,62496.0,433008.0,769296.0
17000000000,113832.0,80352.0,68448.0,58032.0,471696.0,792360.0
18000000000,119040.0,79608.0,70680.0,65472.0,526008.0,860808.0
19000000000,121272.0,76632.0,66960.0,56544.0,585528.0,906936.0
20000000000,120528.0,79608.0,68448.0,61752.0,619008.0,949344.0
21000000000,116808.0,79608.0,69192.0,58776.0,669600.0,993984.0
22000000000,124992.0,79608.0,67704.0,61008.0,731352.0,1064664.0
23000000000,116064.0,82584.0,73656.0,61752.0,783432.0,1117488.0
24000000000,121272.0,76632.0,69936.0,60264.0,843696.0,1171800.0
25000000000,119040.0,80352.0,68448.0,61008.0,881640.0,1210488.0
26000000000,119784.0,77376.0,67704.0,59520.0,879408.0,1203792.0
27000000000,119784.0,78120.0,69192.0,63984.0,835512.0,1166592.0
28000000000,120528.0,81840.0,70680.0,63240.0,774504.0,1110792.0
29000000000,116808.0,79608.0,68448.0,61752.0,739536.0,1066152.0
30000000000,120528.0,77376.0,72168.0,58032.0,683736.0,1011840.0
31000000000,118296.0,78864.0,68448.0,59520.0,625704.0,950832.0
32000000000,119784.0,78864.0,68448.0,60264.0,576600.0,903960.0
33000000000,119784.0,79608.0,69192.0,61752.0,538656.0,868992.0
34000000000,118296.0,80352.0,70680.0,57288.0,482856.0,809472.0
35000000000,115320.0,78864.0,72168.0,58032.0,424080.0,748464.0
36000000000,122016.0,81840.0,71424.0,61008.0,378696.0,714984.0
37000000000,122016.0,79608.0,66960.0,60264.0,323640.0,652488.0
38000000000,122016.0,78864.0,68448.0,60264.0,231384.0,560976.0
39000000000,121272.0,81840.0,68448.0,59520.0,127968.0,459048.0
40000000000,122760.0,78120.0,66216.0,57288.0,128712.0,453096.0
41000000000,122760.0,77376.0,72912.0,59520.0,128712.0,461280.0
42000000000,119784.0,80352.0,70680.0,59520.0,130944.0,461280.0
43000000000,122760.0,81096.0,67704.0,58032.0,127224.0,456816.0
44000000000,117552.0,79608.0,69936.0,61752.0,131688.0,460536.0
45000000000,119040.0,79608.0,70680.0,62496.0,119784.0,451608.0
46000000000,124992.0,77376.0,66960.0,60264.0,132432.0,462024.0
47000000000,118296.0,80352.0,72912.0,64728.0,131688.0,467976.0
48000000000,119040.0,78120.0,68448.0,56544.0,126480.0,448632.0
49000000000,119040.0,80352.0,68448.0,58032.0,132432.0,458304.0
