#Time,Throughput1,Throughput2,Throughput3,Throughput4,Throughput5,TotalThroughput
0,0.229152,0.132432,0.09672,0.065472,0.211296,0.735072
1000000000,0.23808,0.159216,0.138384,0.108624,0.266352,0.910656
2000000000,0.241056,0.154752,0.142848,0.124992,0.251472,0.91512
3000000000,0.236592,0.160704,0.136896,0.124992,0.266352,0.925536
4000000000,0.235104,0.154752,0.14136,0.117552,0.2604,0.909168
5000000000,0.239568,0.16368,0.14136,0.114576,0.263376,0.92256
6000000000,0.239568,0.162192,0.138384,0.11904,0.255936,0.91512
7000000000,0.242544,0.162192,0.142848,0.11904,0.284208,0.950832
8000000000,0.249984,0.157728,0.130944,0.117552,0.264864,0.921072
9000000000,0.242544,0.15624,0.142848,0.114576,0.258912,0.91512
10000000000,0.242544,0.16368,0.144336,0.122016,0.257424,0.93
11000000000,0.241056,0.162192,0.132432,0.116064,0.254448,0.906192
12000000000,0.241056,0.159216,0.147312,0.113088,0.264864,0.925536
13000000000,0.227664,0.162192,0.14136,0.120528,0.348192,0.999936
14000000000,0.244032,0.166656,0.135408,0.123504,0.330336,0.999936
15000000000,0.233616,0.160704,0.144336,0.11904,0.34224,0.999936
16000000000,0.244032,0.159216,0.139872,0.124992,0.331824,0.999936
17000000000,0.229152,0.162192,0.136896,0.117552,0.354144,0.999936
18000000000,0.23808,0.159216,0.14136,0.129456,0.331824,0.999936
19000000000,0.244032,0.151776,0.13392,0.113088,0.35712,0.999936
20000000000,0.241056,0.159216,0.136896,0.123504,0.339264,0.999936
21000000000,0.232128,0.160704,0.138384,0.117552,0.351168,0.999936
22000000000,0.249984,0.159216,0.135408,0.120528,0.3348,0.999936
23000000000,0.232128,0.165168,0.145824,0.124992,0.331824,0.999936
24000000000,0.242544,0.153264,0.14136,0.120528,0.34224,0.999936
25000000000,0.23808,0.159216,0.138384,0.122016,0.34224,0.999936
26000000000,0.239568,0.15624,0.13392,0.11904,0.351168,0.999936
27000000000,0.239568,0.15624,0.138384,0.12648,0.339264,0.999936
28000000000,0.241056,0.16368,0.14136,0.127968,0.325872,0.999936
29000000000,0.23064,0.157728,0.136896,0.124992,0.34968,0.999936
30000000000,0.244032,0.15624,0.144336,0.113088,0.34224,0.999936
31000000000,0.236592,0.157728,0.136896,0.120528,0.348192,0.999936
32000000000,0.23808,0.15624,0.136896,0.122016,0.346704,0.999936
33000000000,0.241056,0.160704,0.138384,0.122016,0.337776,0.999936
34000000000,0.235104,0.159216,0.14136,0.116064,0.348192,0.999936
35000000000,0.232128,0.160704,0.144336,0.114576,0.34968,1.001424
36000000000,0.24552,0.162192,0.14136,0.122016,0.328848,0.999936
37000000000,0.242544,0.159216,0.135408,0.120528,0.34224,0.999936
38000000000,0.242544,0.157728,0.135408,0.120528,0.343728,0.999936
39000000000,0.244032,0.16368,0.136896,0.11904,0.284208,0.947856
40000000000,0.24552,0.15624,0.13392,0.114576,0.257424,0.90768
41000000000,0.24552,0.153264,0.145824,0.11904,0.257424,0.921072
42000000000,0.239568,0.162192,0.14136,0.11904,0.263376,0.925536
43000000000,0.247008,0.162192,0.135408,0.116064,0.25296,0.913632
44000000000,0.233616,0.159216,0.139872,0.123504,0.263376,0.919584
45000000000,0.23808,0.159216,0.139872,0.124992,0.241056,0.903216
46000000000,0.249984,0.154752,0.135408,0.120528,0.2604,0.921072
47000000000,0.236592,0.160704,0.145824,0.129456,0.266352,0.938928
48000000000,0.239568,0.157728,0.136896,0.113088,0.25296,0.90024
49000000000,0.235104,0.159216,0.135408,0.116064,0.263376,0.909168
