#Time,Throughput1,Throughput2,Throughput3,Throughput4,Throughput5,TotalThroughput
0,0.220224,0.129456,0.102672,0.068448,0.218736,0.739536
1000000000,0.236592,0.15624,0.14136,0.124992,0.257424,0.916608
2000000000,0.242544,0.159216,0.135408,0.116064,0.25296,0.906192
3000000000,0.239568,0.166656,0.136896,0.117552,0.255936,0.916608
4000000000,0.248496,0.154752,0.1488,0.114576,0.263376,0.93
5000000000,0.241056,0.16368,0.138384,0.120528,0.270816,0.934464
6000000000,0.242544,0.15624,0.145824,0.12648,0.258912,0.93
7000000000,0.229152,0.154752,0.142848,0.120528,0.258912,0.906192
8000000000,0.24552,0.159216,0.130944,0.120528,0.264864,0.921072
9000000000,0.247008,0.15624,0.135408,0.124992,0.2604,0.924048
10000000000,0.235104,0.16368,0.136896,0.12648,0.25296,0.91512
11000000000,0.236592,0.160704,0.13392,0.124992,0.26784,0.924048
12000000000,0.244032,0.165168,0.13392,0.12648,0.25296,0.92256
13000000000,0.214272,0.14136,0.127968,0.108624,0.403248,0.995472
14000000000,0.172608,0.13392,0.11904,0.08928,0.485088,0.999936
15000000000,0.17856,0.120528,0.09672,0.08184,0.522288,0.999936
16000000000,0.162192,0.105648,0.078864,0.068448,0.584784,0.999936
17000000000,0.157728,0.114576,0.083328,0.06696,0.577344,0.999936
18000000000,0.144336,0.105648,0.077376,0.058032,0.614544,0.999936
19000000000,0.130944,0.093744,0.072912,0.0744,0.627936,0.999936
20000000000,0.226176,0.147312,0.124992,0.113088,0.382416,0.993984
21000000000,0.23808,0.154752,0.136896,0.116064,0.351168,0.99696
22000000000,0.239568,0.159216,0.132432,0.120528,0.348192,0.999936
23000000000,0.239568,0.16368,0.136896,0.114576,0.345216,0.999936
24000000000,0.235104,0.165168,0.138384,0.116064,0.345216,0.999936
25000000000,0.227664,0.160704,0.14136,0.117552,0.346704,0.993984
26000000000,0.247008,0.159216,0.127968,0.117552,0.348192,0.999936
27000000000,0.242544,0.157728,0.132432,0.117552,0.34968,0.999936
28000000000,0.229152,0.159216,0.139872,0.120528,0.34968,0.998448
29000000000,0.244032,0.159216,0.132432,0.11904,0.345216,0.999936
30000000000,0.232128,0.160704,0.138384,0.123504,0.345216,0.999936
31000000000,0.23808,0.1488,0.138384,0.116064,0.35712,0.998448
32000000000,0.24552,0.15624,0.13392,0.117552,0.345216,0.998448
33000000000,0.241056,0.165168,0.13392,0.120528,0.339264,0.999936
34000000000,0.241056,0.15624,0.136896,0.11904,0.346704,0.999936
35000000000,0.236592,0.159216,0.139872,0.113088,0.34968,0.998448
36000000000,0.232128,0.165168,0.135408,0.120528,0.345216,0.998448
37000000000,0.235104,0.15624,0.139872,0.120528,0.348192,0.999936
38000000000,0.236592,0.157728,0.139872,0.123504,0.34224,0.999936
39000000000,0.241056,0.159216,0.138384,0.12648,0.25296,0.918096
40000000000,0.242544,0.160704,0.138384,0.117552,0.25296,0.912144
41000000000,0.24552,0.162192,0.142848,0.122016,0.258912,0.931488
42000000000,0.239568,0.162192,0.132432,0.113088,0.263376,0.910656
43000000000,0.244032,0.165168,0.147312,0.120528,0.249984,0.927024
44000000000,0.233616,0.153264,0.13392,0.124992,0.261888,0.90768
45000000000,0.23808,0.166656,0.138384,0.122016,0.261888,0.927024
46000000000,0.242544,0.1488,0.139872,0.116064,0.2604,0.90768
47000000000,0.241056,0.169632,0.142848,0.127968,0.264864,0.946368
48000000000,0.248496,0.159216,0.136896,0.120528,0.255936,0.921072
49000000000,0.248496,0.15624,0.14136,0.122016,0.25296,0.921072
