#Time,Throughput1,Throughput2,Throughput3,Throughput4,Throughput5,TotalThroughput
0,102672.0,66960.0,47616.0,35712.0,108624.0,361584.0
1000000000,122016.0,81096.0,73656.0,57288.0,127968.0,462024.0
2000000000,122016.0,78120.0,69936.0,60264.0,128712.0,459048.0
3000000000,121272.0,83328.0,71424.0,58032.0,123504.0,457560.0
4000000000,121272.0,81840.0,74400.0,61752.0,126480.0,465744.0
5000000000,126480.0,83328.0,71424.0,63240.0,126480.0,470952.0
6000000000,115320.0,78864.0,69192.0,59520.0,128712.0,451608.0
7000000000,118296.0,80352.0,72912.0,60264.0,133176.0,465000.0
8000000000,117552.0,81096.0,68448.0,61008.0,130944.0,459048.0
9000000000,124992.0,80352.0,70680.0,63240.0,131688.0,470952.0
10000000000,119784.0,81840.0,72168.0,56544.0,127224.0,457560.0
11000000000,123504.0,78120.0,73656.0,60264.0,128712.0,464256.0
12000000000,118296.0,83328.0,71424.0,58776.0,127224.0,459048.0
13000000000,120528.0,87048.0,69192.0,59520.0,232872.0,569160.0
14000000000,125736.0,83328.0,67704.0,57288.0,322152.0,656208.0
15000000000,119784.0,78864.0,69192.0,61008.0,383160.0,712008.0
16000000000,120528.0,79608.0,70680.0,57288.0,435984.0,764088.0
17000000000,120528.0,86304.0,73656.0,60264.0,476904.0,817656.0
18000000000,122760.0,81840.0,69936.0,59520.0,524520.0,858576.0
19000000000,119040.0,78120.0,74400.0,58032.0,590736.0,920328.0
20000000000,118296.0,83328.0,69192.0,61008.0,626448.0,958272.0
21000000000,116808.0,80352.0,72168.0,62496.0,668856.0,1000680.0
22000000000,120528.0,81840.0,66216.0,59520.0,744000.0,1072104.0
23000000000,126480.0,78120.0,66960.0,61752.0,772272.0,1105584.0
24000000000,119784.0,81840.0,69936.0,59520.0,831048.0,1162128.0
25000000000,118296.0,78120.0,75144.0,61752.0,883128.0,1216440.0
26000000000,119040.0,82584.0,63984.0,57288.0,880896.0,1203792.0
27000000000,122760.0,84072.0,69192.0,63984.0,831792.0,1171800.0
28000000000,119040.0,78864.0,71424.0,58032.0,775992.0,1103352.0
29000000000,122760.0,81096.0,72168.0,59520.0,728376.0,1063920.0
30000000000,121272.0,78864.0,71424.0,57288.0,688200.0,1017048.0
31000000000,119040.0,80352.0,68448.0,59520.0,636864.0,964224.0
32000000000,122760.0,78120.0,69192.0,59520.0,581064.0,910656.0
33000000000,124248.0,81096.0,66960.0,60264.0,526008.0,858576.0
34000000000,120528.0,84816.0,70680.0,57288.0,475416.0,808728.0
35000000000,117552.0,83328.0,68448.0,58776.0,429288.0,757392.0
36000000000,119784.0,81840.0,66960.0,63240.0,371256.0,703080.0
37000000000,122760.0,77376.0,72912.0,63240.0,330336.0,666624.0
38000000000,120528.0,80352.0,69192.0,62496.0,234360.0,566928.0
39000000000,120528.0,83328.0,71424.0,61008.0,127968.0,464256.0
40000000000,119784.0,81840.0,66960.0,61008.0,130944.0,460536.0
41000000000,122760.0,83328.0,69936.0,61752.0,127968.0,465744.0
42000000000,116808.0,78864.0,71424.0,60264.0,123504.0,450864.0
43000000000,122016.0,78864.0,69192.0,60264.0,128712.0,459048.0
44000000000,118296.0,79608.0,71424.0,62496.0,130944.0,462768.0
45000000000,122760.0,78864.0,75144.0,57288.0,133920.0,467976.0
46000000000,121272.0,78120.0,69936.0,57288.0,126480.0,453096.0
47000000000,122760.0,77376.0,72168.0,58776.0,130944.0,462024.0
48000000000,119040.0,78864.0,75144.0,56544.0,131688.0,461280.0
49000000000,120528.0,79608.0,68448.0,60264.0,124248.0,453096.0
