#Time,Throughput1,Throughput2,Throughput3,Throughput4,Throughput5,TotalThroughput
0,0.122016,0.093744,0.098208,0.196416,0.17856,0.688944
1000000000,0.227664,0.16368,0.138384,0.258912,0.196416,0.985056
2000000000,0.23064,0.157728,0.142848,0.248496,0.205344,0.985056
3000000000,0.249984,0.159216,0.130944,0.255936,0.202368,0.998448
4000000000,0.247008,0.159216,0.139872,0.264864,0.188976,0.999936
5000000000,0.241056,0.15624,0.13392,0.257424,0.199392,0.988032
6000000000,0.004464,0.00744,0.004464,0.00744,0.976128,0.999936
7000000000,0.001488,0.0,0.002976,0.0,0.995472,0.999936
8000000000,0.220224,0.139872,0.130944,0.236592,0.272304,0.999936
9000000000,0.229152,0.154752,0.135408,0.249984,0.23064,0.999936
10000000000,0.232128,0.154752,0.138384,0.242544,0.232128,0.999936
11000000000,0.244032,0.150288,0.135408,0.2604,0.20088,0.991008
12000000000,0.23808,0.15624,0.136896,0.2604,0.20088,0.992496
13000000000,0.239568,0.159216,0.138384,0.264864,0.194928,0.99696
14000000000,0.239568,0.153264,0.145824,0.255936,0.199392,0.993984
15000000000,0.248496,0.153264,0.150288,0.247008,0.20088,0.999936
16000000000,0.00744,0.002976,0.004464,0.004464,0.977616,0.99696
17000000000,0.005952,0.002976,0.0,0.002976,0.988032,0.999936
18000000000,0.220224,0.142848,0.122016,0.233616,0.281232,0.999936
19000000000,0.224688,0.153264,0.13392,0.241056,0.247008,0.999936
20000000000,0.227664,0.151776,0.135408,0.239568,0.24552,0.999936
21000000000,0.23808,0.159216,0.138384,0.251472,0.203856,0.991008
22000000000,0.23064,0.15624,0.138384,0.263376,0.19344,0.98208
23000000000,0.236592,0.15624,0.147312,0.264864,0.183024,0.988032
24000000000,0.227664,0.154752,0.14136,0.261888,0.197904,0.983568
25000000000,0.236592,0.151776,0.14136,0.261888,0.196416,0.988032
26000000000,0.00744,0.001488,0.002976,0.004464,0.983568,0.999936
27000000000,0.005952,0.001488,0.002976,0.002976,0.986544,0.999936
28000000000,0.21576,0.150288,0.132432,0.23064,0.270816,0.999936
29000000000,0.2232,0.145824,0.139872,0.249984,0.241056,0.999936
30000000000,0.233616,0.144336,0.132432,0.254448,0.235104,0.999936
31000000000,0.227664,0.162192,0.138384,0.26784,0.197904,0.993984
32000000000,0.233616,0.159216,0.136896,0.258912,0.206832,0.995472
33000000000,0.232128,0.16368,0.138384,0.263376,0.199392,0.99696
34000000000,0.23808,0.154752,0.139872,0.255936,0.211296,0.999936
35000000000,0.236592,0.160704,0.136896,0.254448,0.202368,0.991008
36000000000,0.00744,0.004464,0.002976,0.008928,0.976128,0.999936
37000000000,0.005952,0.0,0.002976,0.002976,0.988032,0.999936
38000000000,0.220224,0.142848,0.116064,0.239568,0.281232,0.999936
39000000000,0.233616,0.144336,0.129456,0.254448,0.23808,0.999936
40000000000,0.226176,0.151776,0.135408,0.247008,0.239568,0.999936
41000000000,0.241056,0.153264,0.127968,0.251472,0.196416,0.970176
42000000000,0.232128,0.15624,0.139872,0.263376,0.203856,0.995472
43000000000,0.235104,0.16368,0.14136,0.249984,0.194928,0.985056
44000000000,0.235104,0.159216,0.142848,0.261888,0.196416,0.995472
45000000000,0.248496,0.159216,0.13392,0.25296,0.199392,0.993984
46000000000,0.241056,0.165168,0.132432,0.25296,0.202368,0.993984
47000000000,0.239568,0.154752,0.135408,0.258912,0.196416,0.985056
48000000000,0.23064,0.15624,0.136896,0.261888,0.202368,0.988032
49000000000,0.239568,0.157728,0.142848,0.257424,0.20088,0.998448
