#Time,Throughput1,Throughput2,Throughput3,Throughput4,Throughput5,TotalThroughput
0,63240.0,49104.0,51336.0,106392.0,93000.0,363072.0
1000000000,123504.0,81096.0,69936.0,130200.0,99696.0,504432.0
2000000000,116064.0,78864.0,71424.0,130944.0,98952.0,496248.0
3000000000,117552.0,82584.0,66960.0,130944.0,99696.0,497736.0
4000000000,115320.0,81096.0,70680.0,129456.0,101184.0,497736.0
5000000000,116064.0,80352.0,69936.0,129456.0,98208.0,494016.0
6000000000,117552.0,77376.0,68448.0,133920.0,50153040.0,50550336.0
7000000000,124248.0,75888.0,70680.0,131688.0,50145600.0,50548104.0
8000000000,122760.0,83328.0,69936.0,124992.0,50060040.0,50461056.0
9000000000,122016.0,79608.0,70680.0,126480.0,50136672.0,50535456.0
10000000000,119040.0,79608.0,71424.0,133176.0,50129976.0,50533224.0
11000000000,119040.0,78864.0,74400.0,124992.0,98952.0,496248.0
12000000000,121272.0,75888.0,69192.0,129456.0,100440.0,496248.0
13000000000,120528.0,76632.0,70680.0,130200.0,101928.0,499968.0
14000000000,120528.0,84816.0,71424.0,133176.0,97464.0,507408.0
15000000000,117552.0,77376.0,68448.0,130944.0,96720.0,491040.0
16000000000,117552.0,78864.0,72912.0,128712.0,50061528.0,50459568.0
17000000000,118296.0,81096.0,69192.0,127224.0,50077896.0,50473704.0
18000000000,123504.0,83328.0,69936.0,129456.0,50082360.0,50488584.0
19000000000,117552.0,78864.0,71424.0,131688.0,50161224.0,50560752.0
20000000000,119784.0,81840.0,69936.0,130200.0,50068968.0,50470728.0
21000000000,122016.0,80352.0,72912.0,136152.0,101184.0,512616.0
22000000000,116808.0,81096.0,72168.0,130944.0,99696.0,500712.0
23000000000,119784.0,80352.0,69936.0,130944.0,101184.0,502200.0
24000000000,113832.0,78864.0,68448.0,130944.0,101184.0,493272.0
25000000000,118296.0,83328.0,74400.0,132432.0,96720.0,505176.0
26000000000,117552.0,80352.0,70680.0,133920.0,50126256.0,50528760.0
27000000000,120528.0,80352.0,71424.0,131688.0,50117328.0,50521320.0
28000000000,121272.0,77376.0,67704.0,128712.0,49993824.0,50388888.0
29000000000,120528.0,83328.0,72168.0,131688.0,50140392.0,50548104.0
30000000000,126480.0,84072.0,68448.0,124248.0,50075664.0,50478912.0
31000000000,119040.0,81096.0,66960.0,133176.0,102672.0,502944.0
32000000000,114576.0,78120.0,68448.0,130200.0,99696.0,491040.0
33000000000,122016.0,80352.0,69936.0,133176.0,100440.0,505920.0
34000000000,119040.0,81840.0,69192.0,126480.0,100440.0,496992.0
35000000000,122760.0,80352.0,69936.0,131688.0,98952.0,503688.0
36000000000,113832.0,82584.0,69192.0,126480.0,50068224.0,50460312.0
37000000000,119784.0,81096.0,69192.0,128712.0,50115096.0,50513880.0
38000000000,116808.0,81096.0,70680.0,133920.0,50158248.0,50560752.0
39000000000,120528.0,78864.0,74400.0,129456.0,50064504.0,50467752.0
40000000000,118296.0,79608.0,67704.0,135408.0,50107656.0,50508672.0
41000000000,122760.0,79608.0,72912.0,133920.0,101184.0,510384.0
42000000000,115320.0,81840.0,72912.0,127224.0,98952.0,496248.0
43000000000,118296.0,78864.0,72168.0,126480.0,102672.0,498480.0
44000000000,119784.0,80352.0,72168.0,135408.0,103416.0,511128.0
45000000000,117552.0,79608.0,75144.0,132432.0,99696.0,504432.0
46000000000,117552.0,78120.0,72912.0,125736.0,107136.0,501456.0
47000000000,118296.0,79608.0,72912.0,133176.0,103416.0,507408.0
48000000000,121272.0,81096.0,68448.0,133920.0,95232.0,499968.0
49000000000,120528.0,79608.0,72168.0,128712.0,98952.0,499968.0
