#Time,Throughput1,Throughput2,Throughput3,Throughput4,Throughput5,TotalThroughput
0,58776.0,48360.0,51336.0,104160.0,92256.0,354888.0
1000000000,118296.0,76632.0,70680.0,134664.0,101928.0,502200.0
2000000000,119040.0,78864.0,71424.0,130944.0,97464.0,497736.0
3000000000,121272.0,78120.0,69936.0,124248.0,101184.0,494760.0
4000000000,119784.0,79608.0,69192.0,133176.0,104160.0,505920.0
5000000000,116808.0,81840.0,69936.0,129456.0,101184.0,499224.0
6000000000,119040.0,77376.0,70680.0,130944.0,50074176.0,50472216.0
7000000000,122016.0,78864.0,67704.0,133176.0,50194704.0,50596464.0
8000000000,116064.0,82584.0,72912.0,128712.0,50160480.0,50560752.0
9000000000,114576.0,82584.0,66960.0,130944.0,50242320.0,50637384.0
10000000000,122760.0,79608.0,70680.0,130944.0,50167176.0,50571168.0
11000000000,120528.0,80352.0,66960.0,127968.0,102672.0,498480.0
12000000000,119040.0,77376.0,74400.0,130944.0,97464.0,499224.0
13000000000,119784.0,80352.0,66960.0,130944.0,97464.0,495504.0
14000000000,117552.0,84072.0,69192.0,128712.0,95976.0,495504.0
15000000000,119784.0,73656.0,69192.0,130944.0,96720.0,490296.0
16000000000,119784.0,80352.0,69192.0,129456.0,50037720.0,50436504.0
17000000000,122016.0,82584.0,72168.0,131688.0,50091288.0,50499744.0
18000000000,119784.0,80352.0,70680.0,133920.0,50055576.0,50460312.0
19000000000,122760.0,78120.0,69936.0,128712.0,50131464.0,50530992.0
20000000000,116064.0,79608.0,69192.0,127224.0,50018376.0,50410464.0
21000000000,121272.0,81840.0,72912.0,129456.0,100440.0,505920.0
22000000000,115320.0,79608.0,69936.0,124248.0,98208.0,487320.0
23000000000,123504.0,81840.0,69192.0,131688.0,93744.0,499968.0
24000000000,114576.0,84072.0,71424.0,132432.0,98208.0,500712.0
25000000000,120528.0,77376.0,69192.0,130944.0,104904.0,502944.0
26000000000,120528.0,83328.0,71424.0,131688.0,50129232.0,50536200.0
27000000000,116064.0,78864.0,69936.0,129456.0,50155272.0,50549592.0
28000000000,116808.0,80352.0,69936.0,128712.0,50141880.0,50537688.0
29000000000,115320.0,76632.0,67704.0,127224.0,50058552.0,50445432.0
30000000000,127224.0,81096.0,69192.0,128712.0,50119560.0,50525784.0
31000000000,125736.0,78864.0,69192.0,130200.0,100440.0,504432.0
32000000000,116808.0,81096.0,70680.0,131688.0,100440.0,500712.0
33000000000,110856.0,78120.0,63984.0,130200.0,95976.0,479136.0
34000000000,124248.0,80352.0,70680.0,126480.0,99696.0,501456.0
35000000000,121272.0,77376.0,66960.0,129456.0,101928.0,496992.0
36000000000,117552.0,78864.0,72168.0,130200.0,50167176.0,50565960.0
37000000000,122016.0,80352.0,71424.0,130200.0,50139648.0,50543640.0
38000000000,116808.0,81096.0,72168.0,128712.0,50081616.0,50480400.0
39000000000,122016.0,81096.0,72168.0,124992.0,50068224.0,50468496.0
40000000000,117552.0,81840.0,70680.0,130944.0,50046648.0,50447664.0
41000000000,120528.0,76632.0,69936.0,130200.0,99696.0,496992.0
42000000000,120528.0,76632.0,73656.0,128712.0,101184.0,500712.0
43000000000,118296.0,82584.0,72912.0,128712.0,102672.0,505176.0
44000000000,117552.0,80352.0,71424.0,127224.0,101928.0,498480.0
45000000000,119784.0,79608.0,72168.0,128712.0,100440.0,500712.0
46000000000,121272.0,78864.0,68448.0,124992.0,96720.0,490296.0
47000000000,124248.0,81096.0,71424.0,128712.0,95976.0,501456.0
48000000000,119040.0,76632.0,69192.0,130200.0,98952.0,494016.0
49000000000,121272.0,78120.0,66960.0,127968.0,104904.0,499224.0
