#Time, Throughput
0,0
1000000000,0
2000000000,0
3000000000,0
4000000000,0
5000000000,6696.0
6000000000,11904.0
7000000000,0
8000000000,0
9000000000,0
10000000000,0
11000000000,6696.0
12000000000,0
13000000000,0
14000000000,0
15000000000,0
16000000000,49784760.0
17000000000,49879992.0
18000000000,49938768.0
19000000000,49940256.0
20000000000,49921656.0
21000000000,5952.0
22000000000,5208.0
23000000000,10416.0
24000000000,6696.0
25000000000,0
26000000000,49945464.0
27000000000,49760952.0
28000000000,49944720.0
29000000000,49933560.0
30000000000,49900080.0
31000000000,2976.0
32000000000,0
33000000000,0
34000000000,0
35000000000,1488.0
36000000000,50001264.0
37000000000,49858416.0
38000000000,49868832.0
39000000000,49975224.0
40000000000,49912728.0
41000000000,4464.0
42000000000,1488.0
43000000000,0
44000000000,4464.0
45000000000,4464.0
46000000000,3720.0
47000000000,4464.0
48000000000,0
49000000000,0
