#Time, Throughput
0,0
1000000000,0
2000000000,0
3000000000,0
4000000000,0
5000000000,0
6000000000,49888920.0
7000000000,50070456.0
8000000000,49939512.0
9000000000,49951416.0
10000000000,49930584.0
11000000000,9672.0
12000000000,2976.0
13000000000,0
14000000000,0
15000000000,8184.0
16000000000,50013912.0
17000000000,49929840.0
18000000000,50049624.0
19000000000,49939512.0
20000000000,50048880.0
21000000000,1488.0
22000000000,0
23000000000,0
24000000000,1488.0
25000000000,0
26000000000,49938768.0
27000000000,49881480.0
28000000000,49985640.0
29000000000,49990848.0
30000000000,50053344.0
31000000000,2976.0
32000000000,1488.0
33000000000,7440.0
34000000000,2976.0
35000000000,0
36000000000,49935792.0
37000000000,50022840.0
38000000000,49924632.0
39000000000,49986384.0
40000000000,50061528.0
41000000000,10416.0
42000000000,4464.0
43000000000,0
44000000000,0
45000000000,0
46000000000,0
47000000000,0
48000000000,0
49000000000,0
