#Time,Throughput1,Throughput2,Throughput3,Throughput4,Throughput5,TotalThroughput
0,104904.0,62496.0,49104.0,35712.0,109368.0,361584.0
1000000000,121272.0,76632.0,69192.0,59520.0,127968.0,454584.0
2000000000,123504.0,80352.0,70680.0,58032.0,133176.0,465744.0
3000000000,120528.0,78120.0,68448.0,62496.0,128712.0,458304.0
4000000000,116808.0,79608.0,69192.0,58776.0,136152.0,460536.0
5000000000,127224.0,81840.0,70680.0,59520.0,130944.0,470208.0
6000000000,119784.0,81096.0,66960.0,59520.0,133176.0,460536.0
7000000000,121272.0,78864.0,68448.0,58776.0,131688.0,459048.0
8000000000,127968.0,84072.0,74400.0,56544.0,131688.0,474672.0
9000000000,117552.0,78120.0,67704.0,58032.0,127968.0,449376.0
10000000000,120528.0,79608.0,72912.0,57288.0,127968.0,458304.0
11000000000,116064.0,78864.0,71424.0,58032.0,127224.0,451608.0
12000000000,119784.0,76632.0,72168.0,60264.0,130200.0,459048.0
13000000000,121272.0,80352.0,69192.0,58776.0,226176.0,555768.0
14000000000,119784.0,80352.0,71424.0,64728.0,328104.0,664392.0
15000000000,121272.0,77376.0,72912.0,61008.0,379440.0,712008.0
16000000000,116064.0,79608.0,69936.0,58032.0,432264.0,755904.0
17000000000,120528.0,80352.0,72912.0,61008.0,473184.0,807984.0
18000000000,121272.0,72912.0,67704.0,61008.0,532704.0,855600.0
19000000000,116808.0,79608.0,69936.0,64728.0,573624.0,904704.0
20000000000,119784.0,84072.0,69936.0,60264.0,626448.0,960504.0
21000000000,125736.0,81096.0,71424.0,57288.0,681504.0,1017048.0
22000000000,122016.0,79608.0,68448.0,58032.0,732096.0,1060200.0
23000000000,120528.0,81840.0,70680.0,58032.0,781200.0,1112280.0
24000000000,122760.0,79608.0,66960.0,61008.0,843696.0,1174032.0
25000000000,124248.0,81096.0,71424.0,61008.0,881640.0,1219416.0
26000000000,122760.0,84816.0,70680.0,58032.0,891312.0,1227600.0
27000000000,119784.0,77376.0,69936.0,59520.0,820632.0,1147248.0
28000000000,119040.0,79608.0,69192.0,61008.0,773760.0,1102608.0
29000000000,119040.0,78120.0,71424.0,61752.0,734328.0,1064664.0
30000000000,122760.0,81096.0,69192.0,61752.0,688200.0,1023000.0
31000000000,118296.0,78864.0,67704.0,61752.0,633888.0,960504.0
32000000000,118296.0,79608.0,73656.0,61008.0,576600.0,909168.0
33000000000,116064.0,80352.0,68448.0,58032.0,523032.0,845928.0
34000000000,120528.0,76632.0,72912.0,58776.0,490296.0,819144.0
35000000000,117552.0,81096.0,66216.0,61752.0,435240.0,761856.0
36000000000,120528.0,81096.0,69936.0,60264.0,380184.0,712008.0
37000000000,123504.0,81840.0,70680.0,58032.0,325872.0,659928.0
38000000000,123504.0,81096.0,72168.0,62496.0,231384.0,570648.0
39000000000,118296.0,79608.0,68448.0,63984.0,126480.0,456816.0
40000000000,122760.0,77376.0,69192.0,62496.0,125736.0,457560.0
41000000000,122016.0,82584.0,69936.0,61008.0,127224.0,462768.0
42000000000,119784.0,78864.0,68448.0,61752.0,129456.0,458304.0
43000000000,116808.0,78864.0,69192.0,61752.0,124992.0,451608.0
44000000000,116808.0,78864.0,70680.0,59520.0,126480.0,452352.0
45000000000,114576.0,80352.0,69192.0,58776.0,131688.0,454584.0
46000000000,121272.0,80352.0,73656.0,58776.0,134664.0,468720.0
47000000000,126480.0,76632.0,69936.0,59520.0,125736.0,458304.0
48000000000,117552.0,75888.0,70680.0,58776.0,130944.0,453840.0
49000000000,116808.0,82584.0,69192.0,61008.0,130200.0,459792.0
