#Time,Throughput1,Throughput2,Throughput3,Throughput4,Throughput5,TotalThroughput
0,0.218736,0.122016,0.093744,0.071424,0.2232,0.72912
1000000000,0.247008,0.16368,0.14136,0.124992,0.247008,0.924048
2000000000,0.23064,0.159216,0.144336,0.11904,0.247008,0.90024
3000000000,0.241056,0.160704,0.144336,0.127968,0.2604,0.934464
4000000000,0.244032,0.16368,0.135408,0.123504,0.2604,0.927024
5000000000,0.235104,0.162192,0.142848,0.123504,0.263376,0.927024
6000000000,0.235104,0.157728,0.139872,0.122016,0.25296,0.90768
7000000000,0.23064,0.154752,0.139872,0.122016,0.266352,0.913632
8000000000,0.236592,0.159216,0.144336,0.113088,0.254448,0.90768
9000000000,0.235104,0.16368,0.138384,0.12648,0.257424,0.921072
10000000000,0.23808,0.162192,0.142848,0.124992,0.255936,0.924048
11000000000,0.233616,0.153264,0.144336,0.11904,0.2604,0.910656
12000000000,0.227664,0.16368,0.139872,0.120528,0.247008,0.898752
13000000000,0.220224,0.142848,0.132432,0.110112,0.392832,0.998448
14000000000,0.184512,0.110112,0.108624,0.092256,0.504432,0.999936
15000000000,0.174096,0.123504,0.092256,0.090768,0.519312,0.999936
16000000000,0.169632,0.108624,0.086304,0.069936,0.56544,0.999936
17000000000,0.1488,0.098208,0.095232,0.068448,0.589248,0.999936
18000000000,0.136896,0.102672,0.077376,0.068448,0.614544,0.999936
19000000000,0.136896,0.087792,0.071424,0.071424,0.6324,0.999936
20000000000,0.135408,0.078864,0.077376,0.05952,0.648768,0.999936
21000000000,0.132432,0.0744,0.0744,0.05952,0.659184,0.999936
22000000000,0.123504,0.077376,0.05952,0.055056,0.68448,0.999936
23000000000,0.129456,0.0744,0.055056,0.055056,0.685968,0.999936
24000000000,0.1116,0.072912,0.062496,0.05952,0.693408,0.999936
25000000000,0.099696,0.071424,0.063984,0.043152,0.72168,0.999936
26000000000,0.108624,0.053568,0.055056,0.05208,0.730608,0.999936
27000000000,0.101184,0.065472,0.061008,0.053568,0.718704,0.999936
28000000000,0.122016,0.06696,0.053568,0.047616,0.709776,0.999936
29000000000,0.11904,0.0744,0.068448,0.062496,0.67704,1.001424
30000000000,0.123504,0.075888,0.068448,0.058032,0.674064,0.999936
31000000000,0.135408,0.078864,0.06696,0.050592,0.668112,0.999936
32000000000,0.135408,0.087792,0.0744,0.050592,0.651744,0.999936
33000000000,0.139872,0.093744,0.075888,0.080352,0.61008,0.999936
34000000000,0.1488,0.105648,0.090768,0.069936,0.584784,0.999936
35000000000,0.154752,0.10416,0.080352,0.078864,0.581808,0.999936
36000000000,0.174096,0.102672,0.090768,0.083328,0.549072,0.999936
37000000000,0.17856,0.114576,0.093744,0.098208,0.514848,0.999936
38000000000,0.21576,0.139872,0.117552,0.098208,0.428544,0.999936
39000000000,0.254448,0.172608,0.150288,0.124992,0.2976,0.999936
40000000000,0.270816,0.172608,0.150288,0.129456,0.276768,0.999936
41000000000,0.248496,0.157728,0.138384,0.124992,0.2604,0.93
42000000000,0.241056,0.16368,0.138384,0.120528,0.261888,0.925536
43000000000,0.241056,0.160704,0.138384,0.122016,0.257424,0.919584
44000000000,0.233616,0.17112,0.14136,0.117552,0.257424,0.921072
45000000000,0.239568,0.165168,0.142848,0.122016,0.249984,0.919584
46000000000,0.23064,0.160704,0.147312,0.117552,0.261888,0.918096
47000000000,0.244032,0.154752,0.138384,0.120528,0.257424,0.91512
48000000000,0.242544,0.160704,0.139872,0.12648,0.25296,0.92256
49000000000,0.242544,0.162192,0.136896,0.122016,0.264864,0.928512
