#Time, Throughput
0,0
1000000000,0
2000000000,0
3000000000,0
4000000000,0
5000000000,0
6000000000,0
7000000000,0
8000000000,0
9000000000,0
10000000000,0
11000000000,0
12000000000,0
13000000000,0
14000000000,148800.0
15000000000,227664.0
16000000000,262632.0
17000000000,302064.0
18000000000,358608.0
19000000000,403992.0
20000000000,476904.0
21000000000,507408.0
22000000000,575856.0
23000000000,604128.0
24000000000,653232.0
25000000000,714984.0
26000000000,700848.0
27000000000,662904.0
28000000000,601896.0
29000000000,559488.0
30000000000,518568.0
31000000000,459048.0
32000000000,413664.0
33000000000,354144.0
34000000000,305040.0
35000000000,266352.0
36000000000,213528.0
37000000000,154008.0
38000000000,59520.0
39000000000,0
40000000000,0
41000000000,0
42000000000,0
43000000000,0
44000000000,0
45000000000,0
46000000000,0
47000000000,0
48000000000,0
49000000000,0
