#Time,Throughput1,Throughput2,Throughput3,Throughput4,Throughput5,TotalThroughput
0,108624.0,62496.0,49104.0,37944.0,115320.0,373488.0
1000000000,119040.0,79608.0,70680.0,58032.0,131688.0,459048.0
2000000000,121272.0,80352.0,72912.0,61752.0,129456.0,465744.0
3000000000,124992.0,81840.0,67704.0,61752.0,124992.0,461280.0
4000000000,118296.0,79608.0,69936.0,63984.0,127968.0,459792.0
5000000000,120528.0,79608.0,70680.0,59520.0,128712.0,459048.0
6000000000,121272.0,78864.0,66960.0,60264.0,133920.0,461280.0
7000000000,118296.0,77376.0,67704.0,61752.0,133176.0,458304.0
8000000000,122016.0,79608.0,69192.0,58032.0,127968.0,456816.0
9000000000,118296.0,79608.0,69192.0,61008.0,131688.0,459792.0
10000000000,120528.0,82584.0,69936.0,62496.0,136152.0,471696.0
11000000000,116064.0,80352.0,70680.0,61008.0,135408.0,463512.0
12000000000,118296.0,75888.0,67704.0,61008.0,134664.0,457560.0
13000000000,121272.0,73656.0,69192.0,58032.0,230640.0,552792.0
14000000000,124248.0,79608.0,68448.0,60264.0,330336.0,662904.0
15000000000,117552.0,75888.0,69936.0,60264.0,377208.0,700848.0
16000000000,119040.0,76632.0,70680.0,59520.0,430032.0,755904.0
17000000000,124992.0,82584.0,72912.0,63240.0,484344.0,828072.0
18000000000,121272.0,80352.0,70680.0,59520.0,526008.0,857832.0
19000000000,116064.0,81096.0,69936.0,60264.0,586272.0,913632.0
20000000000,126480.0,81840.0,70680.0,58776.0,627936.0,965712.0
21000000000,119784.0,76632.0,69936.0,59520.0,675552.0,1001424.0
22000000000,119784.0,78120.0,72168.0,56544.0,733584.0,1060200.0
23000000000,117552.0,78864.0,68448.0,61008.0,786408.0,1112280.0
24000000000,118296.0,78120.0,68448.0,58776.0,828816.0,1152456.0
25000000000,118296.0,77376.0,69192.0,61752.0,883128.0,1209744.0
26000000000,120528.0,78120.0,67704.0,61008.0,865272.0,1192632.0
27000000000,122760.0,78864.0,68448.0,58776.0,831792.0,1160640.0
28000000000,120528.0,79608.0,71424.0,61752.0,776736.0,1110048.0
29000000000,116808.0,79608.0,72168.0,60264.0,715728.0,1044576.0
30000000000,120528.0,78864.0,71424.0,59520.0,673320.0,1003656.0
31000000000,117552.0,81096.0,72168.0,57288.0,641328.0,969432.0
32000000000,120528.0,75888.0,66960.0,61008.0,585528.0,909912.0
33000000000,123504.0,80352.0,66960.0,61008.0,526752.0,858576.0
34000000000,121272.0,82584.0,72168.0,59520.0,476904.0,812448.0
35000000000,119784.0,82584.0,72912.0,60264.0,431520.0,767064.0
36000000000,122760.0,83328.0,72912.0,58032.0,385392.0,722424.0
37000000000,124248.0,80352.0,68448.0,63240.0,334800.0,671088.0
38000000000,118296.0,78120.0,69936.0,61008.0,226176.0,553536.0
39000000000,113088.0,81096.0,68448.0,58776.0,130944.0,452352.0
40000000000,116064.0,78120.0,72912.0,61752.0,130200.0,459048.0
41000000000,118296.0,81096.0,69192.0,60264.0,133176.0,462024.0
42000000000,119784.0,81840.0,69936.0,61008.0,130944.0,463512.0
43000000000,118296.0,81840.0,72912.0,62496.0,139872.0,475416.0
44000000000,116808.0,81096.0,66216.0,60264.0,130944.0,455328.0
45000000000,120528.0,81840.0,68448.0,59520.0,134664.0,465000.0
46000000000,122016.0,84072.0,69936.0,59520.0,127224.0,462768.0
47000000000,118296.0,79608.0,72168.0,58776.0,129456.0,458304.0
48000000000,122760.0,80352.0,70680.0,57288.0,132432.0,463512.0
49000000000,117552.0,82584.0,65472.0,58776.0,130944.0,455328.0
