#Time,Throughput1,Throughput2,Throughput3,Throughput4,Throughput5,TotalThroughput
0,0.212784,0.130944,0.098208,0.071424,0.2232,0.73656
1000000000,0.241056,0.16368,0.129456,0.11904,0.269328,0.92256
2000000000,0.235104,0.160704,0.142848,0.127968,0.248496,0.91512
3000000000,0.239568,0.159216,0.138384,0.116064,0.257424,0.910656
4000000000,0.233616,0.162192,0.135408,0.120528,0.25296,0.904704
5000000000,0.249984,0.157728,0.142848,0.117552,0.255936,0.924048
6000000000,0.247008,0.159216,0.142848,0.124992,0.255936,0.93
7000000000,0.236592,0.169632,0.139872,0.11904,0.251472,0.916608
8000000000,0.235104,0.154752,0.138384,0.117552,0.261888,0.90768
9000000000,0.227664,0.153264,0.138384,0.11904,0.270816,0.909168
10000000000,0.24552,0.157728,0.136896,0.122016,0.263376,0.925536
11000000000,0.241056,0.15624,0.139872,0.114576,0.261888,0.913632
12000000000,0.236592,0.160704,0.138384,0.114576,0.261888,0.912144
13000000000,0.226176,0.144336,0.122016,0.108624,0.397296,0.998448
14000000000,0.194928,0.139872,0.11904,0.098208,0.447888,0.999936
15000000000,0.221712,0.145824,0.130944,0.1116,0.389856,0.999936
16000000000,0.217248,0.147312,0.116064,0.113088,0.406224,0.999936
17000000000,0.227664,0.147312,0.12648,0.101184,0.397296,0.999936
18000000000,0.209808,0.1488,0.132432,0.107136,0.40176,0.999936
19000000000,0.221712,0.154752,0.116064,0.116064,0.391344,0.999936
20000000000,0.220224,0.14136,0.123504,0.1116,0.403248,0.999936
21000000000,0.218736,0.150288,0.129456,0.105648,0.395808,0.999936
22000000000,0.217248,0.144336,0.123504,0.102672,0.412176,0.999936
23000000000,0.217248,0.151776,0.11904,0.114576,0.397296,0.999936
24000000000,0.212784,0.145824,0.116064,0.108624,0.41664,0.999936
25000000000,0.212784,0.151776,0.124992,0.11904,0.391344,0.999936
26000000000,0.23064,0.150288,0.11904,0.10416,0.395808,0.999936
27000000000,0.221712,0.144336,0.12648,0.116064,0.391344,0.999936
28000000000,0.209808,0.14136,0.132432,0.102672,0.413664,0.999936
29000000000,0.217248,0.138384,0.12648,0.110112,0.407712,0.999936
30000000000,0.217248,0.151776,0.124992,0.108624,0.397296,0.999936
31000000000,0.218736,0.1488,0.122016,0.099696,0.410688,0.999936
32000000000,0.220224,0.150288,0.130944,0.101184,0.397296,0.999936
33000000000,0.20832,0.139872,0.12648,0.113088,0.412176,0.999936
34000000000,0.220224,0.14136,0.130944,0.107136,0.400272,0.999936
35000000000,0.211296,0.14136,0.12648,0.105648,0.415152,0.999936
36000000000,0.2232,0.145824,0.12648,0.113088,0.391344,0.999936
37000000000,0.21576,0.142848,0.124992,0.102672,0.413664,0.999936
38000000000,0.218736,0.138384,0.127968,0.108624,0.406224,0.999936
39000000000,0.236592,0.166656,0.14136,0.123504,0.261888,0.93
40000000000,0.241056,0.15624,0.142848,0.11904,0.26784,0.927024
41000000000,0.239568,0.16368,0.14136,0.120528,0.264864,0.93
42000000000,0.239568,0.162192,0.138384,0.114576,0.254448,0.909168
43000000000,0.236592,0.15624,0.147312,0.120528,0.257424,0.918096
44000000000,0.227664,0.15624,0.142848,0.117552,0.263376,0.90768
45000000000,0.249984,0.162192,0.13392,0.120528,0.261888,0.928512
46000000000,0.236592,0.154752,0.136896,0.114576,0.258912,0.901728
47000000000,0.233616,0.162192,0.145824,0.114576,0.263376,0.919584
48000000000,0.235104,0.165168,0.138384,0.122016,0.263376,0.924048
49000000000,0.239568,0.160704,0.132432,0.11904,0.261888,0.913632
