#Time,Throughput1,Throughput2,Throughput3,Throughput4,Throughput5,TotalThroughput
0,104904.0,64728.0,51336.0,37200.0,113088.0,371256.0
1000000000,119784.0,78120.0,70680.0,59520.0,127968.0,456072.0
2000000000,115320.0,81840.0,66216.0,59520.0,135408.0,458304.0
3000000000,120528.0,81096.0,72912.0,59520.0,134664.0,468720.0
4000000000,119784.0,82584.0,75888.0,61008.0,130944.0,470208.0
5000000000,116808.0,82584.0,67704.0,60264.0,129456.0,456816.0
6000000000,118296.0,83328.0,69936.0,60264.0,136896.0,468720.0
7000000000,119784.0,79608.0,68448.0,61008.0,128712.0,457560.0
8000000000,120528.0,81096.0,72912.0,59520.0,131688.0,465744.0
9000000000,121272.0,78864.0,72168.0,57288.0,127968.0,457560.0
10000000000,120528.0,80352.0,66960.0,60264.0,130200.0,458304.0
11000000000,118296.0,77376.0,68448.0,58776.0,134664.0,457560.0
12000000000,122016.0,82584.0,66960.0,59520.0,124992.0,456072.0
13000000000,120528.0,80352.0,72168.0,59520.0,226176.0,558744.0
14000000000,122016.0,83328.0,70680.0,60264.0,328848.0,665136.0
15000000000,124992.0,78864.0,70680.0,62496.0,380184.0,717216.0
16000000000,122016.0,80352.0,70680.0,58032.0,430032.0,761112.0
17000000000,124992.0,79608.0,69192.0,58032.0,473928.0,805752.0
18000000000,115320.0,78120.0,69192.0,59520.0,524520.0,846672.0
19000000000,118296.0,81096.0,71424.0,62496.0,589248.0,922560.0
20000000000,115320.0,83328.0,68448.0,61752.0,637608.0,966456.0
21000000000,117552.0,80352.0,68448.0,57288.0,689688.0,1013328.0
22000000000,122760.0,77376.0,71424.0,58032.0,718704.0,1048296.0
23000000000,122016.0,81840.0,69936.0,59520.0,768552.0,1101864.0
24000000000,121272.0,80352.0,68448.0,58032.0,834768.0,1162872.0
25000000000,122760.0,75888.0,70680.0,59520.0,871968.0,1200816.0
26000000000,120528.0,79608.0,69936.0,63240.0,892800.0,1226112.0
27000000000,123504.0,73656.0,68448.0,60264.0,824352.0,1150224.0
28000000000,122016.0,82584.0,69936.0,62496.0,790128.0,1127160.0
29000000000,119784.0,81096.0,68448.0,61008.0,730608.0,1060944.0
30000000000,118296.0,76632.0,66960.0,58776.0,681504.0,1002168.0
31000000000,115320.0,80352.0,69936.0,58776.0,632400.0,956784.0
32000000000,123504.0,83328.0,72168.0,57288.0,572880.0,909168.0
33000000000,120528.0,81840.0,68448.0,58776.0,534936.0,864528.0
34000000000,119784.0,84072.0,71424.0,59520.0,495504.0,830304.0
35000000000,120528.0,76632.0,67704.0,57288.0,421848.0,744000.0
36000000000,120528.0,78120.0,72168.0,55800.0,373488.0,700104.0
37000000000,119040.0,81096.0,73656.0,60264.0,322896.0,656952.0
38000000000,119040.0,83328.0,67704.0,60264.0,233616.0,563952.0
39000000000,119784.0,79608.0,71424.0,63240.0,133176.0,467232.0
40000000000,116808.0,79608.0,65472.0,60264.0,127968.0,450120.0
41000000000,119784.0,82584.0,69192.0,58776.0,128712.0,459048.0
42000000000,117552.0,84816.0,70680.0,59520.0,134664.0,467232.0
43000000000,121272.0,81096.0,68448.0,58032.0,131688.0,460536.0
44000000000,122016.0,84072.0,69192.0,60264.0,134664.0,470208.0
45000000000,117552.0,80352.0,68448.0,58776.0,133920.0,459048.0
46000000000,117552.0,78864.0,67704.0,59520.0,134664.0,458304.0
47000000000,119784.0,82584.0,69192.0,56544.0,136152.0,464256.0
48000000000,118296.0,81096.0,69936.0,60264.0,133176.0,462768.0
49000000000,117552.0,78864.0,69192.0,58776.0,134664.0,459048.0
