#Time,Throughput1,Throughput2,Throughput3,Throughput4,Throughput5,TotalThroughput
0,110856.0,64728.0,49848.0,42408.0,114576.0,382416.0
1000000000,117552.0,82584.0,69192.0,58776.0,133176.0,461280.0
2000000000,122760.0,76632.0,70680.0,58776.0,133176.0,462024.0
3000000000,123504.0,79608.0,63984.0,62496.0,129456.0,459048.0
4000000000,124248.0,78864.0,72912.0,56544.0,130944.0,463512.0
5000000000,120528.0,78120.0,71424.0,59520.0,132432.0,462024.0
6000000000,119784.0,81096.0,68448.0,58032.0,127968.0,455328.0
7000000000,119784.0,78864.0,67704.0,63240.0,125736.0,455328.0
8000000000,123504.0,80352.0,69192.0,59520.0,134664.0,467232.0
9000000000,120528.0,78864.0,69936.0,60264.0,132432.0,462024.0
10000000000,125736.0,78120.0,68448.0,57288.0,134664.0,464256.0
11000000000,117552.0,80352.0,69936.0,60264.0,127224.0,455328.0
12000000000,121272.0,78864.0,70680.0,59520.0,127968.0,458304.0
13000000000,119784.0,80352.0,67704.0,62496.0,232128.0,562464.0
14000000000,120528.0,78864.0,66216.0,61752.0,327360.0,654720.0
15000000000,122016.0,80352.0,69936.0,65472.0,375720.0,713496.0
16000000000,116808.0,83328.0,68448.0,58032.0,435984.0,762600.0
17000000000,119040.0,79608.0,70680.0,59520.0,472440.0,801288.0
18000000000,125736.0,83328.0,71424.0,60264.0,542376.0,883128.0
19000000000,123504.0,81840.0,70680.0,61008.0,580320.0,917352.0
20000000000,120528.0,79608.0,69936.0,60264.0,632400.0,962736.0
21000000000,119784.0,78864.0,70680.0,62496.0,674064.0,1005888.0
22000000000,124248.0,81096.0,71424.0,58032.0,736560.0,1071360.0
23000000000,124248.0,77376.0,73656.0,61008.0,781200.0,1117488.0
24000000000,122760.0,78120.0,68448.0,60264.0,834768.0,1164360.0
25000000000,122016.0,80352.0,69192.0,63240.0,875688.0,1210488.0
26000000000,119784.0,78864.0,72168.0,57288.0,886104.0,1214208.0
27000000000,123504.0,78120.0,74400.0,60264.0,834024.0,1170312.0
28000000000,121272.0,81096.0,70680.0,59520.0,773760.0,1106328.0
29000000000,119040.0,78864.0,63240.0,61752.0,738792.0,1061688.0
30000000000,124992.0,77376.0,69192.0,60264.0,689688.0,1021512.0
31000000000,124992.0,78864.0,69936.0,58776.0,625704.0,958272.0
32000000000,122016.0,78864.0,72912.0,59520.0,583296.0,916608.0
33000000000,122016.0,81840.0,72168.0,61008.0,537168.0,874200.0
34000000000,127224.0,81096.0,68448.0,61008.0,485088.0,822864.0
35000000000,119784.0,78864.0,70680.0,57288.0,433008.0,759624.0
36000000000,121272.0,79608.0,69936.0,64728.0,382416.0,717960.0
37000000000,118296.0,84072.0,69936.0,61752.0,334800.0,668856.0
38000000000,119784.0,82584.0,69192.0,57288.0,235104.0,563952.0
39000000000,115320.0,77376.0,66216.0,57288.0,127968.0,444168.0
40000000000,118296.0,81096.0,71424.0,63240.0,129456.0,463512.0
41000000000,122016.0,81096.0,68448.0,58032.0,130200.0,459792.0
42000000000,124248.0,81096.0,66216.0,61008.0,136152.0,468720.0
43000000000,116064.0,79608.0,71424.0,59520.0,127968.0,454584.0
44000000000,117552.0,78120.0,69192.0,60264.0,128712.0,453840.0
45000000000,120528.0,81096.0,69936.0,58776.0,131688.0,462024.0
46000000000,126480.0,83328.0,70680.0,58776.0,127224.0,466488.0
47000000000,122016.0,80352.0,69936.0,63984.0,133176.0,469464.0
48000000000,121272.0,78864.0,70680.0,60264.0,129456.0,460536.0
49000000000,121272.0,81840.0,71424.0,61008.0,130200.0,465744.0
