#Time,Throughput1,Throughput2,Throughput3,Throughput4,Throughput5,TotalThroughput
0,0.212784,0.122016,0.098208,0.069936,0.214272,0.717216
1000000000,0.235104,0.159216,0.138384,0.117552,0.254448,0.904704
2000000000,0.241056,0.15624,0.138384,0.123504,0.266352,0.925536
3000000000,0.24552,0.154752,0.14136,0.122016,0.26784,0.931488
4000000000,0.244032,0.160704,0.14136,0.117552,0.263376,0.927024
5000000000,0.23808,0.159216,0.135408,0.123504,0.249984,0.906192
6000000000,0.23808,0.157728,0.138384,0.120528,0.263376,0.918096
7000000000,0.241056,0.165168,0.130944,0.122016,0.254448,0.913632
8000000000,0.232128,0.151776,0.132432,0.120528,0.255936,0.8928
9000000000,0.244032,0.165168,0.136896,0.120528,0.264864,0.931488
10000000000,0.23808,0.157728,0.14136,0.114576,0.255936,0.90768
11000000000,0.23808,0.151776,0.142848,0.120528,0.266352,0.919584
12000000000,0.229152,0.153264,0.151776,0.117552,0.255936,0.90768
13000000000,0.21576,0.132432,0.117552,0.110112,0.422592,0.998448
14000000000,0.17856,0.114576,0.117552,0.107136,0.482112,0.999936
15000000000,0.154752,0.1116,0.108624,0.099696,0.525264,0.999936
16000000000,0.151776,0.101184,0.084816,0.077376,0.583296,0.998448
17000000000,0.150288,0.084816,0.092256,0.0744,0.598176,0.999936
18000000000,0.142848,0.101184,0.086304,0.072912,0.598176,1.001424
19000000000,0.122016,0.10416,0.071424,0.061008,0.641328,0.999936
20000000000,0.136896,0.071424,0.080352,0.069936,0.641328,0.999936
21000000000,0.098208,0.069936,0.05952,0.058032,0.71424,0.999936
22000000000,0.11904,0.0744,0.065472,0.062496,0.678528,0.999936
23000000000,0.107136,0.071424,0.062496,0.049104,0.709776,0.999936
24000000000,0.09672,0.069936,0.055056,0.050592,0.727632,0.999936
25000000000,0.099696,0.056544,0.058032,0.055056,0.730608,0.999936
26000000000,0.093744,0.0744,0.069936,0.05208,0.709776,0.999936
27000000000,0.1116,0.068448,0.058032,0.055056,0.7068,0.999936
28000000000,0.105648,0.0744,0.04464,0.05208,0.723168,0.999936
29000000000,0.116064,0.072912,0.071424,0.05952,0.680016,0.999936
30000000000,0.233616,0.145824,0.14136,0.10416,0.367536,0.992496
31000000000,0.244032,0.159216,0.136896,0.124992,0.333312,0.998448
32000000000,0.229152,0.162192,0.144336,0.120528,0.3348,0.991008
33000000000,0.239568,0.165168,0.147312,0.11904,0.328848,0.999936
34000000000,0.239568,0.159216,0.139872,0.124992,0.333312,0.99696
35000000000,0.232128,0.15624,0.139872,0.113088,0.345216,0.986544
36000000000,0.241056,0.154752,0.145824,0.124992,0.328848,0.995472
37000000000,0.244032,0.154752,0.144336,0.117552,0.336288,0.99696
38000000000,0.241056,0.159216,0.135408,0.116064,0.3348,0.986544
39000000000,0.244032,0.169632,0.14136,0.114576,0.258912,0.928512
40000000000,0.242544,0.162192,0.145824,0.122016,0.2604,0.932976
41000000000,0.241056,0.157728,0.14136,0.114576,0.255936,0.910656
42000000000,0.25296,0.15624,0.136896,0.123504,0.248496,0.918096
43000000000,0.244032,0.157728,0.138384,0.114576,0.2604,0.91512
44000000000,0.239568,0.169632,0.139872,0.113088,0.266352,0.928512
45000000000,0.247008,0.154752,0.132432,0.120528,0.254448,0.909168
46000000000,0.24552,0.159216,0.138384,0.117552,0.261888,0.92256
47000000000,0.232128,0.162192,0.144336,0.130944,0.254448,0.924048
48000000000,0.232128,0.15624,0.139872,0.120528,0.266352,0.91512
49000000000,0.235104,0.157728,0.142848,0.116064,0.258912,0.910656
