#Time, Throughput
0,2.098345592
1,2.148410384
2,2.118365624
3,2.064289632
4,2.071578416
5,1.071394976
6,1.073503584
7,1.084361848
8,1.108850456
9,1.1300634
10,2.128257008
11,2.107447064
12,2.078119672
13,2.06222496
14,2.060988488
15,1.081568448
16,1.078961432
17,1.087282872
18,1.07417116
19,1.087993528
20,1.542576704
21,2.127990072
22,2.114361608
23,2.090410224
24,2.11978328
25,1.096928312
26,1.093799096
27,1.093539872
28,1.099340936
29,1.104857808
30,2.140473688
31,2.170860008
32,2.158286488
33,2.146601952
34,2.187037296
35,1.134671376
36,1.117285616
37,1.122689976
38,1.13135828
39,1.121092776
40,2.124807672
41,2.128258672
42,2.155528272
43,2.090170496
44,2.1591666
