#Time, Throughput
0,8675.0
1,10837.0
2,7839.0
3,7469.0
4,31059.0
5,476368.0
6,477454.0
7,481233.0
8,491945.0
9,480920.0
10,10229.0
11,9774.0
12,6906.0
13,7346.0
14,54218.0
15,483922.0
16,482637.0
17,487437.0
18,489283.0
19,436965.0
20,6396.0
21,9553.0
22,4551.0
23,12051.0
24,197311.0
25,482332.0
26,482537.0
27,481779.0
28,486539.0
29,295149.0
30,8737.0
31,13528.0
32,8136.0
33,11451.0
34,222791.0
35,498835.0
36,495796.0
37,503382.0
38,501001.0
39,281963.0
40,10678.0
41,8936.0
42,12535.0
43,10072.0
44,3984.0
