#Time, Throughput
0,2.097573664
1,2.14689856
2,2.116695312
3,2.062835928
4,2.07031576
5,2.051795288
6,2.064174016
7,2.103603288
8,2.16771564
9,2.217468976
10,2.126464112
11,2.107477632
12,2.076318128
13,2.06045492
14,2.059298752
15,2.092557048
16,2.074795888
17,2.098922992
18,2.07036176
19,2.102236904
20,1.541853064
21,2.12682016
22,2.113928888
23,2.088722864
24,2.118432688
25,2.130817752
26,2.116795488
27,2.114918496
28,2.13620268
29,2.14597236
30,2.139077504
31,2.170024136
32,2.156976032
33,2.145287616
34,2.18462512
35,2.231189128
36,2.1857514
37,2.196371368
38,2.235614496
39,2.193632696
40,2.122699912
41,2.125708376
42,2.153920024
43,2.08857668
44,2.157459216
