#Time, Throughput
0,2.126744984
1,2.189290696
2,2.143176816
3,2.0912278
4,2.094233032
5,2.072270536
6,2.079697216
7,2.116620072
8,2.195377888
9,2.255458688
10,2.157650112
11,2.143071272
12,2.101689528
13,2.08670576
14,2.077825432
15,2.103882984
16,2.092890056
17,2.11947032
18,2.08373004
19,2.119637992
20,1.556488096
21,2.157037824
22,2.136129272
23,2.116807256
24,2.155528976
25,2.151338656
26,2.135760232
27,2.131330136
28,2.149821912
29,2.173870472
30,2.168037344
31,2.214536752
32,2.197304344
33,2.17651904
34,2.221127344
35,2.255391784
36,2.214521024
37,2.220996032
38,2.26024104
39,2.222020504
40,2.162149256
41,2.155745712
42,2.20077436
43,2.124008728
44,2.187369336
