#Time, Throughput
0,2.097563584
1,2.158229128
2,2.116921704
3,2.069842864
4,2.07510392
5,2.052227
6,2.06607652
7,2.103465552
8,2.168115136
9,2.218122544
10,2.126819544
11,2.107481072
12,2.075992272
13,2.071878248
14,2.066969392
15,2.084999032
16,2.07440624
17,2.096724256
18,2.069822008
19,2.108520784
20,1.542284352
21,2.138490776
22,2.115212552
23,2.08871008
24,2.118423808
25,2.132342592
26,2.116780672
27,2.052233408
28,2.136494112
29,2.149161848
30,2.139192568
31,2.174051272
32,2.1570036
33,2.151874208
34,2.1824648
35,2.22025372
36,2.185496088
37,2.18597688
38,2.235827232
39,2.182116936
40,2.122687064
41,2.139630352
42,2.15610908
43,2.088799712
44,2.157460544
