#Time, Throughput
0,2.102229544
1,2.152519232
2,2.122462048
3,2.068237704
4,2.075813168
5,1.770346848
6,1.467456008
7,1.611910048
8,1.69337272
9,1.92547624
10,2.13153324
11,2.11313524
12,2.083213256
13,2.067234264
14,2.064550032
15,1.656430344
16,1.4718432
17,1.788003544
18,1.784666696
19,1.558160512
20,1.543299064
21,2.132190368
22,2.116710968
23,2.092615016
24,2.123434968
25,1.991600224
26,1.85467044
27,1.710967448
28,1.8966978
29,1.79048088
30,2.144402776
31,2.177411632
32,2.164307768
33,2.150108232
34,2.190614344
35,1.572814216
36,1.931973744
37,1.813486224
38,1.5665288
39,1.785842632
40,2.12749196
41,2.1320784
42,2.159283968
43,2.096955904
44,2.165052216
