#Time, Throughput
0,10021.0
1,10656.0
2,7711.0
3,7252.0
4,15211.0
5,149351.0
6,297340.0
7,246710.0
8,224005.0
9,141171.0
10,10999.0
11,8260.0
12,5824.0
13,6700.0
14,31534.0
15,212158.0
16,260140.0
17,174786.0
18,177906.0
19,218503.0
20,6445.0
21,10161.0
22,5339.0
23,12391.0
24,26915.0
25,81295.0
26,146736.0
27,153061.0
28,129586.0
29,92132.0
30,9167.0
31,14057.0
32,8998.0
33,13388.0
34,146486.0
35,215003.0
36,126953.0
37,212501.0
38,247383.0
39,114248.0
40,11175.0
41,9499.0
42,13690.0
43,9590.0
44,3647.0
