#Time,Throughput1,Throughput2,Throughput3,Throughput4,Throughput5,TotalThroughput
0,108624.0,64728.0,52080.0,35712.0,110112.0,371256.0
1000000000,118296.0,81840.0,72168.0,59520.0,125736.0,457560.0
2000000000,118296.0,78120.0,75888.0,61008.0,130944.0,464256.0
3000000000,117552.0,80352.0,74400.0,61752.0,130944.0,465000.0
4000000000,123504.0,81096.0,66960.0,58776.0,128712.0,459048.0
5000000000,121272.0,79608.0,69192.0,60264.0,127224.0,457560.0
6000000000,118296.0,82584.0,69192.0,60264.0,133920.0,464256.0
7000000000,118296.0,78120.0,66216.0,61008.0,129456.0,453096.0
8000000000,120528.0,75888.0,69192.0,59520.0,127968.0,453096.0
9000000000,115320.0,78120.0,71424.0,59520.0,131688.0,456072.0
10000000000,118296.0,75888.0,72168.0,63240.0,125736.0,455328.0
11000000000,121272.0,79608.0,70680.0,58032.0,127224.0,456816.0
12000000000,121272.0,80352.0,70680.0,60264.0,133176.0,465744.0
13000000000,113832.0,80352.0,69936.0,59520.0,231384.0,555024.0
14000000000,122016.0,81096.0,67704.0,58776.0,321408.0,651000.0
15000000000,118296.0,80352.0,69936.0,58776.0,386136.0,713496.0
16000000000,116808.0,77376.0,66960.0,61008.0,423336.0,745488.0
17000000000,119040.0,80352.0,64728.0,63240.0,482112.0,809472.0
18000000000,122760.0,77376.0,68448.0,57288.0,537168.0,863040.0
19000000000,127224.0,78120.0,69936.0,61008.0,581808.0,918096.0
20000000000,122016.0,79608.0,72168.0,58776.0,625704.0,958272.0
21000000000,118296.0,79608.0,68448.0,62496.0,672576.0,1001424.0
22000000000,119040.0,81096.0,69936.0,61752.0,735816.0,1067640.0
23000000000,122016.0,80352.0,69192.0,58032.0,784920.0,1114512.0
24000000000,119784.0,81840.0,70680.0,61008.0,839232.0,1172544.0
25000000000,116808.0,78864.0,69936.0,58776.0,891312.0,1215696.0
26000000000,119784.0,82584.0,72168.0,58776.0,880896.0,1214208.0
27000000000,119040.0,83328.0,69936.0,58032.0,817656.0,1147992.0
28000000000,127968.0,84072.0,69192.0,61008.0,774504.0,1116744.0
29000000000,119040.0,83328.0,66216.0,58776.0,713496.0,1040856.0
30000000000,117552.0,78120.0,69936.0,60264.0,671088.0,996960.0
31000000000,116808.0,81096.0,72168.0,56544.0,625704.0,952320.0
32000000000,121272.0,79608.0,72912.0,58776.0,573624.0,906192.0
33000000000,119784.0,81840.0,74400.0,59520.0,531216.0,866760.0
34000000000,126480.0,78864.0,71424.0,61008.0,481368.0,819144.0
35000000000,121272.0,82584.0,68448.0,61008.0,425568.0,758880.0
36000000000,122760.0,79608.0,71424.0,63240.0,385392.0,722424.0
37000000000,119784.0,75888.0,69936.0,60264.0,328104.0,653976.0
38000000000,117552.0,81096.0,71424.0,61008.0,225432.0,556512.0
39000000000,116808.0,81840.0,71424.0,61752.0,135408.0,467232.0
40000000000,119040.0,79608.0,67704.0,59520.0,132432.0,458304.0
41000000000,122016.0,81840.0,70680.0,58776.0,126480.0,459792.0
42000000000,122760.0,77376.0,72168.0,56544.0,129456.0,458304.0
43000000000,122760.0,78120.0,69936.0,61008.0,127224.0,459048.0
44000000000,124248.0,80352.0,69936.0,61752.0,134664.0,470952.0
45000000000,123504.0,81096.0,70680.0,58776.0,127968.0,462024.0
46000000000,124992.0,79608.0,70680.0,59520.0,133920.0,468720.0
47000000000,123504.0,78864.0,71424.0,58776.0,132432.0,465000.0
48000000000,122760.0,79608.0,70680.0,62496.0,135408.0,470952.0
49000000000,117552.0,82584.0,69936.0,60264.0,130200.0,460536.0
