#Time, Throughput
0,0
1000000000,0
2000000000,0
3000000000,0
4000000000,0
5000000000,0
6000000000,0
7000000000,0
8000000000,0
9000000000,0
10000000000,0
11000000000,0
12000000000,0
13000000000,0
14000000000,132432.0
15000000000,212784.0
16000000000,245520.0
17000000000,309504.0
18000000000,363816.0
19000000000,418128.0
20000000000,457560.0
21000000000,501456.0
22000000000,566928.0
23000000000,614544.0
24000000000,673320.0
25000000000,714984.0
26000000000,714984.0
27000000000,647280.0
28000000000,617520.0
29000000000,540144.0
30000000000,497736.0
31000000000,451608.0
32000000000,406968.0
33000000000,366048.0
34000000000,319176.0
35000000000,259656.0
36000000000,221712.0
37000000000,154752.0
38000000000,56544.0
39000000000,0
40000000000,0
41000000000,0
42000000000,0
43000000000,0
44000000000,0
45000000000,0
46000000000,0
47000000000,0
48000000000,0
49000000000,0
