#Time,Throughput1,Throughput2,Throughput3,Throughput4,Throughput5,TotalThroughput
0,108624.0,63984.0,51336.0,36456.0,109368.0,369768.0
1000000000,116808.0,78864.0,72168.0,58776.0,126480.0,453096.0
2000000000,121272.0,83328.0,73656.0,63984.0,130200.0,472440.0
3000000000,122016.0,80352.0,66960.0,60264.0,133176.0,462768.0
4000000000,114576.0,79608.0,66960.0,61752.0,128712.0,451608.0
5000000000,119040.0,75144.0,71424.0,59520.0,125736.0,450864.0
6000000000,121272.0,81096.0,69936.0,59520.0,134664.0,466488.0
7000000000,122016.0,79608.0,70680.0,59520.0,131688.0,463512.0
8000000000,122760.0,78864.0,67704.0,61008.0,134664.0,465000.0
9000000000,122016.0,82584.0,69936.0,61008.0,133176.0,468720.0
10000000000,117552.0,81096.0,68448.0,58776.0,132432.0,458304.0
11000000000,121272.0,75888.0,69936.0,61008.0,127968.0,456072.0
12000000000,118296.0,79608.0,69936.0,57288.0,124992.0,450120.0
13000000000,119784.0,78120.0,68448.0,58032.0,232872.0,557256.0
14000000000,124248.0,76632.0,66960.0,59520.0,338520.0,665880.0
15000000000,116808.0,79608.0,68448.0,61008.0,384648.0,710520.0
16000000000,114576.0,78120.0,69936.0,63240.0,428544.0,754416.0
17000000000,121272.0,79608.0,66216.0,61008.0,484344.0,812448.0
18000000000,119784.0,78120.0,68448.0,55056.0,535680.0,857088.0
19000000000,119784.0,76632.0,66960.0,58032.0,584040.0,905448.0
20000000000,118296.0,79608.0,68448.0,59520.0,625704.0,951576.0
21000000000,121272.0,78864.0,68448.0,60264.0,675552.0,1004400.0
22000000000,119784.0,76632.0,71424.0,62496.0,727632.0,1057968.0
23000000000,116808.0,76632.0,69936.0,58776.0,784176.0,1106328.0
24000000000,124248.0,75888.0,69192.0,58032.0,818400.0,1145760.0
25000000000,123504.0,80352.0,69936.0,57288.0,891312.0,1222392.0
26000000000,115320.0,81096.0,69192.0,60264.0,883128.0,1209000.0
27000000000,115320.0,80352.0,69936.0,60264.0,825840.0,1151712.0
28000000000,127968.0,84072.0,67704.0,61752.0,784920.0,1126416.0
29000000000,119040.0,78120.0,67704.0,58776.0,726888.0,1050528.0
30000000000,120528.0,81096.0,71424.0,61008.0,668112.0,1002168.0
31000000000,116808.0,78864.0,66960.0,60264.0,627192.0,950088.0
32000000000,119784.0,79608.0,68448.0,59520.0,578832.0,906192.0
33000000000,116064.0,84072.0,70680.0,58776.0,526752.0,856344.0
34000000000,122016.0,76632.0,69936.0,60264.0,476160.0,805008.0
35000000000,119040.0,79608.0,67704.0,60264.0,428544.0,755160.0
36000000000,119784.0,82584.0,68448.0,61752.0,380184.0,712752.0
37000000000,124992.0,81840.0,66960.0,59520.0,328848.0,662160.0
38000000000,119784.0,81840.0,66960.0,61008.0,230640.0,560232.0
39000000000,120528.0,81840.0,71424.0,58776.0,134664.0,467232.0
40000000000,122760.0,78864.0,72912.0,59520.0,133920.0,467976.0
41000000000,118296.0,78120.0,69936.0,58032.0,131688.0,456072.0
42000000000,118296.0,80352.0,70680.0,61008.0,127968.0,458304.0
43000000000,120528.0,78864.0,70680.0,60264.0,130944.0,461280.0
44000000000,122016.0,79608.0,67704.0,58032.0,127224.0,454584.0
45000000000,113832.0,78120.0,70680.0,58776.0,132432.0,453840.0
46000000000,121272.0,81840.0,71424.0,59520.0,124992.0,459048.0
47000000000,124248.0,78864.0,70680.0,61752.0,130200.0,465744.0
48000000000,122016.0,80352.0,70680.0,60264.0,128712.0,462024.0
49000000000,115320.0,80352.0,67704.0,58032.0,128712.0,450120.0
