#Time,Throughput1,Throughput2,Throughput3,Throughput4,Throughput5,TotalThroughput
0,0.212784,0.124992,0.101184,0.069936,0.214272,0.723168
1000000000,0.235104,0.157728,0.142848,0.11904,0.254448,0.909168
2000000000,0.242544,0.166656,0.1488,0.127968,0.261888,0.947856
3000000000,0.244032,0.160704,0.13392,0.120528,0.263376,0.92256
4000000000,0.229152,0.159216,0.132432,0.123504,0.258912,0.903216
5000000000,0.23808,0.153264,0.144336,0.11904,0.249984,0.904704
6000000000,0.244032,0.160704,0.139872,0.117552,0.270816,0.932976
7000000000,0.244032,0.157728,0.14136,0.120528,0.264864,0.928512
8000000000,0.244032,0.157728,0.135408,0.122016,0.269328,0.928512
9000000000,0.244032,0.165168,0.139872,0.122016,0.264864,0.935952
10000000000,0.233616,0.16368,0.136896,0.117552,0.264864,0.916608
11000000000,0.244032,0.151776,0.139872,0.122016,0.254448,0.912144
12000000000,0.236592,0.159216,0.139872,0.116064,0.251472,0.903216
13000000000,0.21576,0.14136,0.113088,0.10416,0.419616,0.993984
14000000000,0.17856,0.122016,0.093744,0.086304,0.519312,0.999936
15000000000,0.159216,0.114576,0.098208,0.083328,0.544608,0.999936
16000000000,0.20832,0.150288,0.129456,0.116064,0.39432,0.998448
17000000000,0.242544,0.157728,0.132432,0.120528,0.346704,0.999936
18000000000,0.241056,0.157728,0.138384,0.1116,0.351168,0.999936
19000000000,0.239568,0.151776,0.132432,0.116064,0.354144,0.993984
20000000000,0.235104,0.159216,0.138384,0.11904,0.348192,0.999936
21000000000,0.239568,0.15624,0.13392,0.11904,0.351168,0.999936
22000000000,0.236592,0.154752,0.136896,0.123504,0.346704,0.998448
23000000000,0.236592,0.151776,0.14136,0.117552,0.351168,0.998448
24000000000,0.247008,0.153264,0.136896,0.116064,0.346704,0.999936
25000000000,0.24552,0.15624,0.138384,0.114576,0.345216,0.999936
26000000000,0.23064,0.162192,0.138384,0.11904,0.34968,0.999936
27000000000,0.23064,0.157728,0.136896,0.117552,0.352656,0.995472
28000000000,0.251472,0.162192,0.130944,0.11904,0.336288,0.999936
29000000000,0.236592,0.153264,0.135408,0.116064,0.355632,0.99696
30000000000,0.232128,0.165168,0.135408,0.11904,0.346704,0.998448
31000000000,0.233616,0.15624,0.135408,0.120528,0.34968,0.995472
32000000000,0.239568,0.157728,0.138384,0.117552,0.346704,0.999936
33000000000,0.229152,0.168144,0.138384,0.117552,0.346704,0.999936
34000000000,0.242544,0.153264,0.138384,0.11904,0.346704,0.999936
35000000000,0.23808,0.159216,0.13392,0.11904,0.348192,0.998448
36000000000,0.232128,0.162192,0.130944,0.122016,0.34968,0.99696
37000000000,0.247008,0.162192,0.130944,0.117552,0.34224,0.999936
38000000000,0.232128,0.165168,0.132432,0.122016,0.345216,0.99696
39000000000,0.242544,0.16368,0.142848,0.117552,0.270816,0.93744
40000000000,0.24552,0.157728,0.145824,0.11904,0.269328,0.93744
41000000000,0.235104,0.15624,0.139872,0.116064,0.263376,0.910656
42000000000,0.23808,0.159216,0.14136,0.122016,0.254448,0.91512
43000000000,0.241056,0.157728,0.14136,0.120528,0.263376,0.924048
44000000000,0.244032,0.159216,0.135408,0.116064,0.25296,0.90768
45000000000,0.227664,0.157728,0.14136,0.117552,0.266352,0.910656
46000000000,0.241056,0.16368,0.142848,0.120528,0.249984,0.918096
47000000000,0.249984,0.157728,0.14136,0.120528,0.2604,0.93
48000000000,0.244032,0.160704,0.14136,0.122016,0.257424,0.925536
49000000000,0.23064,0.160704,0.135408,0.116064,0.255936,0.898752
