#Time,Throughput1,Throughput2,Throughput3,Throughput4,Throughput5,TotalThroughput
0,106392.0,63984.0,49848.0,35712.0,113832.0,369768.0
1000000000,119784.0,79608.0,69936.0,57288.0,129456.0,456072.0
2000000000,124248.0,77376.0,73656.0,63240.0,129456.0,467976.0
3000000000,115320.0,81840.0,69192.0,58032.0,128712.0,453096.0
4000000000,116064.0,76632.0,67704.0,61752.0,125736.0,447888.0
5000000000,120528.0,77376.0,69936.0,59520.0,131688.0,459048.0
6000000000,122016.0,80352.0,67704.0,61752.0,127968.0,459792.0
7000000000,119040.0,79608.0,68448.0,58776.0,126480.0,452352.0
8000000000,124248.0,81840.0,72912.0,58032.0,139128.0,476160.0
9000000000,119040.0,81840.0,71424.0,61752.0,130944.0,465000.0
10000000000,118296.0,82584.0,67704.0,57288.0,134664.0,460536.0
11000000000,120528.0,81840.0,74400.0,58776.0,132432.0,467976.0
12000000000,111600.0,78120.0,66960.0,59520.0,133176.0,449376.0
13000000000,122016.0,80352.0,69192.0,58776.0,235104.0,565440.0
14000000000,114576.0,78864.0,70680.0,61752.0,339264.0,665136.0
15000000000,118296.0,81096.0,69192.0,60264.0,375720.0,704568.0
16000000000,119040.0,78120.0,68448.0,66960.0,427800.0,760368.0
17000000000,120528.0,81096.0,69192.0,59520.0,476904.0,807240.0
18000000000,116808.0,79608.0,72912.0,61008.0,518568.0,848904.0
19000000000,116808.0,79608.0,73656.0,58776.0,592968.0,921816.0
20000000000,117552.0,81096.0,67704.0,55800.0,630912.0,953064.0
21000000000,115320.0,78864.0,66960.0,60264.0,687456.0,1008864.0
22000000000,121272.0,81840.0,69936.0,58776.0,726144.0,1057968.0
23000000000,123504.0,78864.0,66960.0,62496.0,779712.0,1111536.0
24000000000,116808.0,79608.0,67704.0,61008.0,831048.0,1156176.0
25000000000,115320.0,83328.0,68448.0,61008.0,887592.0,1215696.0
26000000000,121272.0,76632.0,69192.0,57288.0,870480.0,1194864.0
27000000000,116064.0,82584.0,72168.0,58032.0,827328.0,1156176.0
28000000000,123504.0,78120.0,71424.0,61752.0,793104.0,1127904.0
29000000000,118296.0,78120.0,69936.0,57288.0,722424.0,1046064.0
30000000000,119784.0,78120.0,66960.0,61752.0,679272.0,1005888.0
31000000000,122016.0,81096.0,67704.0,62496.0,641328.0,974640.0
32000000000,116064.0,81096.0,69192.0,58776.0,575112.0,900240.0
33000000000,120528.0,79608.0,69936.0,66216.0,527496.0,863784.0
34000000000,118296.0,78864.0,70680.0,60264.0,470208.0,798312.0
35000000000,120528.0,81840.0,66960.0,63240.0,431520.0,764088.0
36000000000,117552.0,80352.0,68448.0,61008.0,380184.0,707544.0
37000000000,119784.0,77376.0,70680.0,59520.0,327360.0,654720.0
38000000000,119784.0,81840.0,69936.0,60264.0,229152.0,560976.0
39000000000,120528.0,80352.0,68448.0,58776.0,126480.0,454584.0
40000000000,122016.0,78120.0,72912.0,59520.0,138384.0,470952.0
41000000000,117552.0,78120.0,68448.0,60264.0,132432.0,456816.0
42000000000,123504.0,82584.0,72168.0,59520.0,132432.0,470208.0
43000000000,116064.0,80352.0,69192.0,59520.0,130944.0,456072.0
44000000000,125736.0,78120.0,75144.0,62496.0,132432.0,473928.0
45000000000,120528.0,81840.0,68448.0,58776.0,131688.0,461280.0
46000000000,117552.0,78864.0,70680.0,58032.0,129456.0,454584.0
47000000000,119040.0,82584.0,70680.0,63984.0,130200.0,466488.0
48000000000,119040.0,81096.0,74400.0,57288.0,132432.0,464256.0
49000000000,118296.0,79608.0,69192.0,59520.0,133920.0,460536.0
