#Time,Throughput1,Throughput2,Throughput3,Throughput4,Throughput5,TotalThroughput
0,0.209808,0.12648,0.098208,0.069936,0.224688,0.72912
1000000000,0.241056,0.159216,0.138384,0.114576,0.258912,0.912144
2000000000,0.247008,0.154752,0.1488,0.12648,0.255936,0.932976
3000000000,0.232128,0.16368,0.136896,0.116064,0.258912,0.90768
4000000000,0.232128,0.151776,0.135408,0.122016,0.25296,0.894288
5000000000,0.241056,0.154752,0.14136,0.120528,0.261888,0.919584
6000000000,0.242544,0.162192,0.13392,0.122016,0.257424,0.918096
7000000000,0.23808,0.159216,0.138384,0.11904,0.25296,0.90768
8000000000,0.248496,0.16368,0.144336,0.116064,0.278256,0.950832
9000000000,0.23808,0.16368,0.142848,0.123504,0.258912,0.927024
10000000000,0.236592,0.165168,0.136896,0.114576,0.272304,0.925536
11000000000,0.239568,0.16368,0.1488,0.117552,0.261888,0.931488
12000000000,0.224688,0.15624,0.13392,0.11904,0.270816,0.904704
13000000000,0.244032,0.160704,0.136896,0.117552,0.337776,0.99696
14000000000,0.227664,0.157728,0.142848,0.123504,0.348192,0.999936
15000000000,0.23808,0.162192,0.136896,0.120528,0.34224,0.999936
16000000000,0.236592,0.15624,0.138384,0.13392,0.3348,0.999936
17000000000,0.244032,0.160704,0.138384,0.11904,0.337776,0.999936
18000000000,0.232128,0.159216,0.145824,0.120528,0.34224,0.999936
19000000000,0.232128,0.160704,0.145824,0.11904,0.34224,0.999936
20000000000,0.236592,0.162192,0.135408,0.1116,0.354144,0.999936
21000000000,0.23064,0.157728,0.135408,0.120528,0.355632,0.999936
22000000000,0.241056,0.16368,0.139872,0.117552,0.337776,0.999936
23000000000,0.248496,0.157728,0.132432,0.124992,0.336288,0.999936
24000000000,0.235104,0.157728,0.136896,0.123504,0.346704,0.999936
25000000000,0.23064,0.166656,0.136896,0.120528,0.345216,0.999936
26000000000,0.241056,0.154752,0.136896,0.114576,0.352656,0.999936
27000000000,0.232128,0.16368,0.147312,0.114576,0.343728,1.001424
28000000000,0.24552,0.15624,0.142848,0.124992,0.330336,0.999936
29000000000,0.23808,0.15624,0.138384,0.114576,0.352656,0.999936
30000000000,0.239568,0.157728,0.13392,0.123504,0.345216,0.999936
31000000000,0.242544,0.162192,0.135408,0.124992,0.3348,0.999936
32000000000,0.233616,0.160704,0.138384,0.11904,0.348192,0.999936
33000000000,0.239568,0.160704,0.139872,0.132432,0.32736,0.999936
34000000000,0.236592,0.157728,0.14136,0.120528,0.343728,0.999936
35000000000,0.244032,0.16368,0.13392,0.124992,0.333312,0.999936
36000000000,0.235104,0.160704,0.136896,0.120528,0.346704,0.999936
37000000000,0.236592,0.154752,0.14136,0.120528,0.346704,0.999936
38000000000,0.239568,0.16368,0.138384,0.11904,0.339264,0.999936
39000000000,0.241056,0.159216,0.138384,0.11904,0.284208,0.941904
40000000000,0.247008,0.157728,0.145824,0.11904,0.270816,0.940416
41000000000,0.233616,0.15624,0.136896,0.122016,0.26784,0.916608
42000000000,0.24552,0.166656,0.144336,0.11904,0.266352,0.941904
43000000000,0.235104,0.157728,0.138384,0.117552,0.263376,0.912144
44000000000,0.249984,0.157728,0.150288,0.124992,0.261888,0.94488
45000000000,0.241056,0.16368,0.135408,0.117552,0.263376,0.921072
46000000000,0.235104,0.15624,0.14136,0.116064,0.2604,0.909168
47000000000,0.23808,0.166656,0.142848,0.12648,0.258912,0.932976
48000000000,0.239568,0.162192,0.1488,0.116064,0.264864,0.931488
49000000000,0.235104,0.157728,0.138384,0.117552,0.266352,0.91512
