Time 	as_src 	ip_dst 	ip_src 	port_dst 	port_src 
"November 5th 2015, 02:50:03.315"	"22,368"	REDACTED	186.183.184.162	"41,915"	53
"November 5th 2015, 02:50:03.315"	"13,178"	REDACTED	93.88.140.44	"17,991"	53
"November 5th 2015, 02:50:03.316"	"55,558"	REDACTED	103.11.102.201	"30,724"	53
"November 5th 2015, 02:50:03.316"	"35,662"	REDACTED	176.227.202.9	"5,865"	53
"November 5th 2015, 02:50:03.317"	"28,624"	REDACTED	187.110.104.175	"23,481"	53
"November 5th 2015, 02:50:03.318"	"8,345"	REDACTED	195.206.58.198	0	0
"November 5th 2015, 02:50:03.318"	"50,966"	REDACTED	178.248.71.26	"31,324"	53
"November 5th 2015, 02:50:03.319"	"22,363"	REDACTED	64.9.146.246	"45,116"	53
"November 5th 2015, 02:50:03.320"	"4,788"	REDACTED	1.9.110.1	"25,146"	53
"November 5th 2015, 02:50:03.321"	"262,687"	REDACTED	187.87.207.97	"50,383"	53
"November 5th 2015, 02:50:03.321"	"17,222"	REDACTED	189.45.147.29	"53,780"	53
"November 5th 2015, 02:50:03.322"	"44,927"	REDACTED	95.46.79.76	"5,680"	53
"November 5th 2015, 02:50:03.322"	"28,032"	REDACTED	190.108.89.81	"16,948"	53
"November 5th 2015, 02:50:03.323"	"45,766"	REDACTED	103.40.227.34	0	0
"November 5th 2015, 02:50:03.324"	"14,117"	REDACTED	190.217.155.250	"63,456"	53
"November 5th 2015, 02:50:03.324"	"19,332"	REDACTED	200.39.114.9	0	0
"November 5th 2015, 02:50:03.325"	"7,545"	REDACTED	203.213.116.74	"27,109"	53
"November 5th 2015, 02:50:03.326"	"5,089"	REDACTED	82.34.33.38	"32,437"	53
"November 5th 2015, 02:50:03.326"	"34,896"	REDACTED	85.15.101.90	"25,351"	53
"November 5th 2015, 02:50:03.327"	"31,655"	REDACTED	164.39.135.240	0	0
"November 5th 2015, 02:50:03.328"	"42,936"	REDACTED	91.193.65.170	"21,978"	53
"November 5th 2015, 02:50:03.328"	"38,256"	REDACTED	124.6.224.62	"6,945"	53
"November 5th 2015, 02:50:03.329"	"23,947"	REDACTED	103.233.146.46	"21,186"	53
"November 5th 2015, 02:50:03.330"	"35,662"	REDACTED	87.236.209.73	0	0
