Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1612395620,Capture malicious,RX,0,0,0,0,0
1612395621,Capture malicious,RX,0,0,0,0,0
1612395622,Capture malicious,RX,0,0,0,0,0
1612395623,Capture malicious,RX,0,0,0,0,0
1612395624,Capture malicious,RX,0,0,0,0,0
1612395625,Capture malicious,RX,0,0,0,0,0
1612395626,Capture malicious,RX,0,0,0,0,0
1612395627,Capture malicious,RX,0,0,0,0,0
1612395628,Capture malicious,RX,0,0,0,0,0
1612395629,Capture malicious,RX,0,0,0,0,0
1612395630,Capture malicious,RX,0,0,0,0,0
1612395631,Capture malicious,RX,0,0,0,0,0
1612395632,Capture malicious,RX,0,0,0,0,0
1612395633,Capture malicious,RX,0,0,0,0,0
1612395634,Capture malicious,RX,0,0,0,0,0
1612395635,Capture malicious,RX,0.1750748768454,1686.3212137749,1714.3331940702,175075,210790300
1612395636,Capture malicious,RX,0.86665292695442,8347.600992425,8486.2654607377,1041728,1254240512
1612395637,Capture malicious,RX,0.86716062823612,8352.4911711703,8491.2368716881,1908889,2298302356
1612395638,Capture malicious,RX,0.87367703513384,8415.2572024092,8555.0455280306,2782567,3350210668
1612395639,Capture malicious,RX,0.8761574587213,8439.1486424036,8579.333835799,3658725,4405104900
1612395640,Capture malicious,RX,0.87586700718597,8436.3510132153,8576.489734365,4534593,5459649972
1612395641,Capture malicious,RX,0.87405672085173,8418.9143352439,8558.7634105802,5408650,6512014600
1612395642,Capture malicious,RX,0.87176500707848,8396.8405481799,8536.3229493125,6280416,7561620864
1612395643,Capture malicious,RX,0.87152758188679,8394.5536687335,8533.9980818354,7151944,8610940576
1612395644,Capture malicious,RX,0.87514846890869,8429.4300525285,8569.4538075539,8027093,9664619972
1612395645,Capture malicious,RX,0.55661491632083,5361.3148740022,5450.3732606136,8583708,10334784432
1612395646,Capture malicious,RX,0,0,0,8583708,10334784432
1612395647,Capture malicious,RX,0,0,0,8583708,10334784432
1612395648,Capture malicious,RX,0,0,0,8583708,10334784432
1612395649,Capture malicious,RX,0,0,0,8583708,10334784432
1612395650,Capture malicious,RX,0,0,0,8583708,10334784432
1612395651,Capture malicious,RX,0,0,0,8583708,10334784432
1612395652,Capture malicious,RX,0,0,0,8583708,10334784432
1612395653,Capture malicious,RX,0,0,0,8583708,10334784432
1612395654,Capture malicious,RX,0,0,0,8583708,10334784432
1612395655,Capture malicious,RX,0,0,0,8583708,10334784432
1612395656,Capture malicious,RX,0.85247487563513,8211.0380021176,8347.4339822192,9436184,11361165536
1612395657,Capture malicious,RX,0.86839455609435,8364.3763643008,8503.3194932759,10304579,12406713116
1612395658,Capture malicious,RX,0.86733831993191,8354.2026975841,8492.9768287733,11171918,13450989272
1612395659,Capture malicious,RX,0.86542050360099,8335.7302906848,8474.1975712609,12037339,14492956156
1612395660,Capture malicious,RX,0.86763281421254,8357.0392664952,8495.8605167692,12904972,15537586288
1612395661,Capture malicious,RX,0.86756443518247,8356.3806396775,8495.1909493067,13772537,16582134548
1612395662,Capture malicious,RX,0.86683843328366,8349.3877893882,8488.0819387136,14639376,17625808704
1612395663,Capture malicious,RX,0.86964699881043,8376.439892542,8515.5834123517,15509023,18672863692
1612395664,Capture malicious,RX,0.86606385282348,8341.9270303957,8480.4972468475,16375087,19715604748
1612395665,Capture malicious,RX,0.63818634812929,6147.0109051813,6249.120720882,17013274,20483981896
1612395666,Capture malicious,RX,0,0,0,17013274,20483981896
1612395667,Capture malicious,RX,0,0,0,17013274,20483981896
1612395668,Capture malicious,RX,0,0,0,17013274,20483981896
1612395669,Capture malicious,RX,0,0,0,17013274,20483981896
1612395670,Capture malicious,RX,0,0,0,17013274,20483981896
1612395671,Capture malicious,RX,0,0,0,17013274,20483981896
1612395672,Capture malicious,RX,0,0,0,17013274,20483981896
1612395673,Capture malicious,RX,0,0,0,17013274,20483981896
1612395674,Capture malicious,RX,0,0,0,17013274,20483981896
1612395675,Capture malicious,RX,0,0,0,17013274,20483981896
1612395676,Capture malicious,RX,0.52449982532313,5051.9823175124,5135.9022895641,17537774,21115479896
1612395677,Capture malicious,RX,0.87106570752149,8390.104894847,8529.4754080504,18408840,22164243360
1612395678,Capture malicious,RX,0.87024504606639,8382.2002837114,8521.439491082,19279086,23212019544
1612395679,Capture malicious,RX,0.86755170118979,8356.2579858601,8495.0662580504,20146638,24256552152
1612395680,Capture malicious,RX,0.86871718943973,8367.4839686835,8506.4787189939,21015356,25302488624
1612395681,Capture malicious,RX,0.87010284975671,8380.8306488566,8520.0471048177,21885459,26350092636
1612395682,Capture malicious,RX,0.8707667626452,8387.2254577986,8526.5481398218,22756227,27398497308
1612395683,Capture malicious,RX,0.87605098801667,8438.1231165766,8578.2912746593,23632278,28453262712
1612395684,Capture malicious,RX,0.87728554396634,8450.0143594838,8590.3800465184,24509564,29509515056
1612395685,Capture malicious,RX,0.78619126213924,7572.5942369251,7698.3848388674,25295756,30456090224
1612395686,Capture malicious,RX,0,0,0,25295756,30456090224
1612395687,Capture malicious,RX,0,0,0,25295756,30456090224
1612395688,Capture malicious,RX,0,0,0,25295756,30456090224
1612395689,Capture malicious,RX,0,0,0,25295756,30456090224
1612395690,Capture malicious,RX,0,0,0,25295756,30456090224
1612395691,Capture malicious,RX,0,0,0,25295756,30456090224
1612395692,Capture malicious,RX,0,0,0,25295756,30456090224
1612395693,Capture malicious,RX,0,0,0,25295756,30456090224
1612395694,Capture malicious,RX,0,0,0,25295756,30456090224
1612395695,Capture malicious,RX,0,0,0,25295756,30456090224
1612395696,Capture malicious,RX,0.049366956726717,475.50252719174,483.40124026801,25345123,30515528092
1612395697,Capture malicious,RX,0.86813515635368,8361.8778259986,8500.7794510152,26213259,31560763836
1612395698,Capture malicious,RX,0.87429715037823,8421.2301524431,8561.1176965036,27087557,32613418628
1612395699,Capture malicious,RX,0.87131505085275,8392.5065698137,8531.9169779502,27958873,33662483092
1612395700,Capture malicious,RX,0.87280235104517,8406.8322452671,8546.4806214343,28831676,34713337904
1612395701,Capture malicious,RX,0.8733800533693,8412.3966740531,8552.1374825922,29705057,35764888628
1612395702,Capture malicious,RX,0.87369980814566,8415.476552059,8555.2685213623,30578757,36816823428
1612395703,Capture malicious,RX,0.87442911278871,8422.5012143809,8562.4098724271,31453187,37869637148
1612395704,Capture malicious,RX,0.8752269673061,8430.1861490924,8570.2224638613,32328414,38923410456
1612395705,Capture malicious,RX,0.79452855459911,7652.8990378986,7780.0236066345,33122944,39880024576
1612395706,Capture malicious,RX,0.16474289341974,1586.803549419,1613.1624123661,33287687,40078375148
1612395707,Capture malicious,RX,0,0,0,33287687,40078375148
1612395708,Capture malicious,RX,0,0,0,33287687,40078375148
1612395709,Capture malicious,RX,0,0,0,33287687,40078375148
1612395710,Capture malicious,RX,0,0,0,33287687,40078375148
1612395711,Capture malicious,RX,0,0,0,33287687,40078375148
1612395712,Capture malicious,RX,0,0,0,33287687,40078375148
1612395713,Capture malicious,RX,0,0,0,33287687,40078375148
1612395714,Capture malicious,RX,0,0,0,33287687,40078375148
1612395715,Capture malicious,RX,0,0,0,33287687,40078375148
1612395716,Capture malicious,RX,0,0,0,33287687,40078375148
1612395717,Capture malicious,RX,0,0,0,33287687,40078375148
1612395718,Capture malicious,RX,0,0,0,33287687,40078375148
1612395719,Capture malicious,RX,0,0,0,33287687,40078375148
1612395720,Capture malicious,RX,0,0,0,33287687,40078375148
1612395721,Capture malicious,RX,0,0,0,33287687,40078375148
1612395722,Capture malicious,RX,0,0,0,33287687,40078375148
1612395723,Capture malicious,RX,0,0,0,33287687,40078375148
1612395724,Capture malicious,RX,0,0,0,33287687,40078375148
1612395725,Capture malicious,RX,0,0,0,33287687,40078375148
1612395726,Capture malicious,RX,0,0,0,33287687,40078375148
