Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1612570376,Capture benign,RX,0,0,0,0,0
1612570377,Capture benign,RX,0,0,0,0,0
1612570378,Capture benign,RX,0,0,0,0,0
1612570379,Capture benign,RX,0,0,0,0,0
1612570380,Capture benign,RX,0,0,0,0,0
1612570381,Capture benign,RX,0,0,0,0,0
1612570382,Capture benign,RX,0,0,0,0,0
1612570383,Capture benign,RX,0.45193643332824,792.7857969821,865.09562631462,451952,99101638
1612570384,Capture benign,RX,1.9795548545761,3479.469174171,3796.1979509032,2431513,534036635
1612570385,Capture benign,RX,1.9621886724859,3367.4614977519,3681.4116853496,4393703,954969607
1612570386,Capture benign,RX,1.9544233766957,3311.0543680393,3623.7621083106,6348127,1368851535
1612570387,Capture benign,RX,1.9468777514411,3335.8123392822,3647.3127795127,8295007,1785828559
1612570388,Capture benign,RX,1.9747494859372,3410.991848754,3726.9517665039,10269758,2212202867
1612570389,Capture benign,RX,1.9583036624424,3379.7581017027,3693.0866876935,12228064,2634673134
1612570390,Capture benign,RX,1.9693368111672,3359.0570522325,3674.1509420192,14197402,3054555519
1612570391,Capture benign,RX,1.9650076865917,3343.4433012473,3657.8445311019,16162411,3472486211
1612570392,Capture benign,RX,1.9823563353632,3389.0893277193,3706.2663413774,18144768,3896122519
1612570393,Capture benign,RX,1.5773216788885,2688.339309179,2940.7107778011,19722132,4232173949
1612570394,Capture benign,RX,1.747431085338,3088.6723277386,3368.2613013927,21469565,4618258413
1612570395,Capture benign,RX,2.1100615630937,3662.6762339818,4000.2860840768,23579629,5076093471
1612570396,Capture benign,RX,2.1217981473221,3767.3193580436,4106.8070616151,25701428,5547008580
1612570397,Capture benign,RX,2.012197241848,3550.8843501042,3872.8359087999,27713626,5990869291
1612570398,Capture benign,RX,1.9569769128079,3463.9051856101,3777.0214916594,29670605,6423857901
1612570399,Capture benign,RX,1.9652836650154,3552.1117791094,3866.5571655119,31635890,6867872175
1612570400,Capture benign,RX,1.9634819379854,3558.4895429361,3872.6466530138,33599374,7312683835
