Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1612395620,Capture benign,RX,0,0,0,0,0
1612395621,Capture benign,RX,0,0,0,0,0
1612395622,Capture benign,RX,0,0,0,0,0
1612395623,Capture benign,RX,0,0,0,0,0
1612395624,Capture benign,RX,0,0,0,0,0
1612395625,Capture benign,RX,1.0731447345227,1890.0234044412,2061.7265619648,1073145,236252984
1612395626,Capture benign,RX,1.9758666777404,3462.5306912686,3778.6693597071,3049012,669069391
1612395627,Capture benign,RX,1.9580318135411,3331.2312987744,3644.516388941,5007044,1085473343
1612395628,Capture benign,RX,1.9455999867216,3288.8540735541,3600.1500714295,6952644,1496580105
1612395629,Capture benign,RX,1.9572681744971,3392.7258968786,3705.8888047981,8909916,1920671671
1612395630,Capture benign,RX,1.9788837738717,3403.9134429148,3720.5348467343,10888801,2346161115
1612395631,Capture benign,RX,1.9580144076619,3372.8785636376,3686.1608688635,12846816,2767771063
1612395632,Capture benign,RX,1.9662865467091,3334.6506952582,3649.2565427316,14813103,3184602496
1612395633,Capture benign,RX,1.9674027098708,3368.3446471229,3683.1290807022,16780508,3605646067
1612395634,Capture benign,RX,1.9884536810984,3361.8790048331,3680.0315938088,18768962,4025881010
1612395635,Capture benign,RX,1.167361147983,2040.7082225567,2227.486006234,19936324,4280969724
1612395636,Capture benign,RX,0.7760962984926,1389.1551043535,1513.3305121123,20712421,4454614269
1612395637,Capture benign,RX,0.76706731922257,1382.3194851821,1505.0502562577,21479489,4627404358
1612395638,Capture benign,RX,0.73423897859878,1324.5368493931,1442.0150859689,22213728,4792971469
1612395639,Capture benign,RX,0.71521755619122,1309.0447797079,1423.4795886985,22928946,4956602168
1612395640,Capture benign,RX,0.71412793297206,1298.7175901026,1412.9780593781,23643074,5118941882
1612395641,Capture benign,RX,0.71321456523886,1329.2410057216,1443.3553361598,24356289,5285097109
1612395642,Capture benign,RX,0.72272340961714,1351.0726243273,1466.708369866,25079013,5453981325
1612395643,Capture benign,RX,0.72330416199438,1350.215115668,1465.9437815871,25802318,5622758410
1612395644,Capture benign,RX,0.72495083386769,1313.2732430456,1429.2653764645,26527269,5786917603
1612395645,Capture benign,RX,1.157890329507,2069.5065136225,2254.7689663436,27685160,6045606067
1612395646,Capture benign,RX,1.9752915383382,3456.8628000679,3772.909446202,29660452,6477714018
1612395647,Capture benign,RX,1.9812491485594,3454.9836195409,3771.9834833104,31641704,6909587592
1612395648,Capture benign,RX,1.9569477815503,3428.2994253067,3741.4110703547,33598652,7338125068
1612395649,Capture benign,RX,1.9470639194647,3397.8911269114,3709.4213540257,35545720,7762862349
1612395650,Capture benign,RX,2.0086492701512,3461.2753279641,3782.6592111883,37554372,8195522353
1612395651,Capture benign,RX,2.0380507994103,3485.4540605736,3811.5421884793,39592425,8631204581
1612395652,Capture benign,RX,2.015233607185,3543.3937750074,3865.831152157,41607660,9074129109
1612395653,Capture benign,RX,2.0349087067038,3502.2911581017,3827.8765511743,43642570,9511915782
1612395654,Capture benign,RX,2.0152291250461,3532.2098904171,3854.6465504245,45657800,9953442210
1612395655,Capture benign,RX,1.173370569388,2006.8615106535,2194.6008017555,46831262,10204319446
1612395656,Capture benign,RX,0.78211731121481,1398.4861283989,1523.6248981933,47613380,10379130366
1612395657,Capture benign,RX,0.74948036488908,1367.8275529006,1487.7444112829,48362861,10550108955
1612395658,Capture benign,RX,0.75682052002324,1387.8844478015,1508.9757310052,49119682,10723594621
1612395659,Capture benign,RX,0.75729364808499,1404.3718993872,1525.5388830808,49876976,10899141190
1612395660,Capture benign,RX,0.7564459469317,1376.8531834072,1497.8845349162,50633422,11071247850
1612395661,Capture benign,RX,0.75776457674248,1389.80415171,1511.0464839888,51391187,11244973466
1612395662,Capture benign,RX,0.75173366846674,1382.4852222896,1502.7626092443,52142921,11417784195
1612395663,Capture benign,RX,0.75200535657748,1370.0745557519,1490.3954128043,52894927,11589043661
1612395664,Capture benign,RX,0.76335871621546,1398.1681282201,1520.3055228146,53658286,11763814742
1612395665,Capture benign,RX,1.274151190207,2263.6001693578,2467.4643597909,54932438,12046764943
1612395666,Capture benign,RX,2.3128277876024,4083.4097167352,4453.4621627516,57245323,12557203784
1612395667,Capture benign,RX,2.1184895397651,3809.8000716198,4148.7583979822,59363815,13033429346
1612395668,Capture benign,RX,2.0155015124418,3625.8522679086,3948.3325098993,61379318,13486661214
1612395669,Capture benign,RX,2.0011692778904,3527.5066631209,3847.6937475834,63380488,13927599706
1612395670,Capture benign,RX,2.0006061944042,3575.7380848094,3895.835075914,65381096,14374567370
1612395671,Capture benign,RX,2.004652389819,3658.4566374469,3979.2010198179,67385750,14831874817
1612395672,Capture benign,RX,1.9702918833069,3527.1861990978,3842.4329004269,69356042,15272773118
1612395673,Capture benign,RX,1.9873795211879,3537.6349514404,3855.6156748305,71343427,15714978706
1612395674,Capture benign,RX,1.980868713014,3522.9725375957,3839.911531678,73324296,16155350337
