Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1654011051,Capture malicious,RX,0,0,0,0,0
1654011052,Capture malicious,RX,0,0,0,0,0
1654011053,Capture malicious,RX,0,0,0,0,0
1654011054,Capture malicious,RX,0,0,0,0,0
1654011055,Capture malicious,RX,0,0,0,0,0
1654011056,Capture malicious,RX,0,0,0,0,0
1654011057,Capture malicious,RX,0,0,0,0,0
1654011058,Capture malicious,RX,0,0,0,0,0
1654011059,Capture malicious,RX,0,0,0,0,0
1654011060,Capture malicious,RX,0,0,0,0,0
1654011061,Capture malicious,RX,0,0,0,0,0
1654011062,Capture malicious,RX,0,0,0,0,0
1654011063,Capture malicious,RX,0,0,0,0,0
1654011064,Capture malicious,RX,0,0,0,0,0
1654011065,Capture malicious,RX,0,0,0,0,0
1654011066,Capture malicious,RX,0,0,0,0,0
1654011067,Capture malicious,RX,0,0,0,0,0
1654011068,Capture malicious,RX,0,0,0,0,0
1654011069,Capture malicious,RX,0,0,0,0,0
1654011070,Capture malicious,RX,0,0,0,0,0
1654011071,Capture malicious,RX,0,0,0,0,0
1654011072,Capture malicious,RX,0,0,0,0,0
1654011073,Capture malicious,RX,0,0,0,0,0
1654011074,Capture malicious,RX,0,0,0,0,0
1654011075,Capture malicious,RX,0,0,0,0,0
1654011076,Capture malicious,RX,0,0,0,0,0
1654011077,Capture malicious,RX,0,0,0,0,0
1654011078,Capture malicious,RX,0,0,0,0,0
1654011079,Capture malicious,RX,0,0,0,0,0
1654011080,Capture malicious,RX,0,0,0,0,0
1654011081,Capture malicious,RX,0,0,0,0,0
1654011082,Capture malicious,RX,0,0,0,0,0
1654011083,Capture malicious,RX,0,0,0,0,0
1654011084,Capture malicious,RX,0,0,0,0,0
1654011085,Capture malicious,RX,0,0,0,0,0
1654011086,Capture malicious,RX,0,0,0,0,0
1654011087,Capture malicious,RX,0,0,0,0,0
1654011088,Capture malicious,RX,0.70731816998586,6812.8886133038,6926.0595205016,707319,851612076
1654011089,Capture malicious,RX,0.98328524541727,9471.0034838591,9628.3291231259,1690605,2035488420
1654011090,Capture malicious,RX,0.98633036800888,9500.3341046616,9658.146963543,2676936,3223030944
1654011091,Capture malicious,RX,0.98585177229979,9495.7242707916,9653.4605543595,3662788,4409996752
1654011092,Capture malicious,RX,0.98614694932647,9498.5674159126,9656.3509278048,4648936,5597318944
1654011093,Capture malicious,RX,0.98261243261993,9464.5229509952,9621.7409402144,5631549,6780384996
1654011094,Capture malicious,RX,0.98618724319024,9498.9555264084,9656.7454853189,6617737,7967755348
1654011095,Capture malicious,RX,0.98464621869619,9484.1123784817,9641.6557734731,7602384,9153270336
1654011096,Capture malicious,RX,0.98396179839512,9477.5200421418,9634.953929885,8586346,10337960584
1654011097,Capture malicious,RX,0.98298927860168,9468.1527314914,9625.4310160676,9569336,11521480544
1654011098,Capture malicious,RX,0.2666027566727,2567.9177522714,2610.5741933391,9835939,11842470556
1654011099,Capture malicious,RX,0,0,0,9835939,11842470556
1654011100,Capture malicious,RX,0,0,0,9835939,11842470556
1654011101,Capture malicious,RX,0,0,0,9835939,11842470556
1654011102,Capture malicious,RX,0,0,0,9835939,11842470556
1654011103,Capture malicious,RX,0,0,0,9835939,11842470556
1654011104,Capture malicious,RX,0,0,0,9835939,11842470556
1654011105,Capture malicious,RX,0,0,0,9835939,11842470556
1654011106,Capture malicious,RX,0,0,0,9835939,11842470556
1654011107,Capture malicious,RX,0,0,0,9835939,11842470556
1654011108,Capture malicious,RX,0.69229444293648,6668.1800743642,6778.947185234,10528234,12675993736
1654011109,Capture malicious,RX,0.98299287212439,9468.1873443021,9625.466203842,11511228,13859518512
1654011110,Capture malicious,RX,0.98389667012294,9476.8927266241,9634.3161938438,12495125,15044130500
1654011111,Capture malicious,RX,0.98549852782149,9492.3218199766,9650.001584428,13480625,16230672500
