Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1654971632,Capture benign,RX,0,0,0,0,0
1654971633,Capture benign,RX,0,0,0,0,0
1654971634,Capture benign,RX,0,0,0,0,0
1654971635,Capture benign,RX,0,0,0,0,0
1654971636,Capture benign,RX,0,0,0,0,0
1654971637,Capture benign,RX,0,0,0,0,0
1654971638,Capture benign,RX,0,0,0,0,0
1654971639,Capture benign,RX,0.4000467973205,2244.4647588655,2308.4722464368,400047,280558237
1654971640,Capture benign,RX,0.61404730231114,3475.9222266101,3574.1697949799,1014095,715049009
1654971641,Capture benign,RX,0.60029721730151,3307.4486555778,3403.496210346,1614393,1128480630
1654971642,Capture benign,RX,0.59652897332346,3343.7942450488,3439.2388807806,2210923,1546455630
1654971643,Capture benign,RX,0.59958534107931,3393.0275911962,3488.9612457689,2810509,1970584545
1654971644,Capture benign,RX,0.59576527647605,3334.9085579382,3430.2310021744,3406275,2387448621
1654971645,Capture benign,RX,0.60113380741178,3318.5422008222,3414.723610008,4007409,2802266529
1654971646,Capture benign,RX,0.5904210798453,3246.9580483131,3341.4254210883,4597832,3208137605
1654971647,Capture benign,RX,0.60285333748791,3409.4643171329,3505.920851131,5200686,3634321113
1654971648,Capture benign,RX,0.62203357130771,3626.9712683686,3726.4966397779,5822720,4087692834
1654971649,Capture benign,RX,0.5339540649588,3130.5347142044,3215.9673645978,6356679,4479013290
1654971650,Capture benign,RX,0.59853250277527,3458.4862148981,3554.2514153421,6955212,4911324426
1654971651,Capture benign,RX,0.58193995880999,3256.4077295098,3349.5181229194,7537152,5318375421
1654971652,Capture benign,RX,0.58374655658499,3244.8961347224,3338.295583776,8120905,5723991915
1654971653,Capture benign,RX,0.58665583733352,3350.3806960331,3444.2456300065,8707562,6142790332
1654971654,Capture benign,RX,0.5852457231133,3310.9425615538,3404.5818772519,9292808,6556658348
1654971655,Capture benign,RX,0.58655504511662,3318.6705093642,3412.5193165828,9879364,6971492837
1654971656,Capture benign,RX,0.57713578070017,3255.0222991579,3347.3640240699,10456500,7378370779
1654971657,Capture benign,RX,0.58306762205527,3315.256579049,3408.5473985778,11039568,7792778120
1654971658,Capture benign,RX,0.60575084429476,3513.2348729404,3610.1550080276,11645319,8231932592
1654971659,Capture benign,RX,0.60227415572293,3408.4336747332,3504.7975396488,12247595,8657988106
1654971660,Capture benign,RX,0.61934303520611,3548.0198956357,3647.1147812687,12866941,9101492716
1654971661,Capture benign,RX,0.60823302418352,3446.1757012597,3543.4929851291,13475176,9532266078
1654971662,Capture benign,RX,0.62315878918672,3608.3776777421,3708.083084012,14098347,9983322126
1654971663,Capture benign,RX,0.62040711250051,3571.5821148108,3670.8472528109,14718755,10429770529
1654971664,Capture benign,RX,0.61493935638493,3454.5723968451,3552.9626938667,15333697,10861593935
1654971665,Capture benign,RX,0.62810012255427,3586.7196294106,3687.2156490192,15961798,11309934515
1654971666,Capture benign,RX,0.62241919309512,3527.9142584083,3627.5013293036,16584218,11750924369
1654971667,Capture benign,RX,0.61555596160984,3440.6112571096,3539.1002109672,17199777,12181002899
1654971668,Capture benign,RX,0.63608771801624,3656.945810841,3758.7198457236,17835865,12638121328
1654971669,Capture benign,RX,0.58962592312153,3354.7062265961,3449.0463742955,18425491,13057459661
1654971670,Capture benign,RX,0.60564981548377,3477.6259665377,3574.5299370151,19031142,13492163757
1654971671,Capture benign,RX,0.60273553091134,3421.7793376975,3518.2170226433,19633881,13919888636
1654971672,Capture benign,RX,0.60719298869015,3479.2622231937,3576.4131013841,20241074,14354796422
