Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1653587431,Capture malicious,RX,0,0,0,0,0
1653587432,Capture malicious,RX,0,0,0,0,0
1653587433,Capture malicious,RX,0,0,0,0,0
1653587434,Capture malicious,RX,0,0,0,0,0
1653587435,Capture malicious,RX,0,0,0,0,0
1653587436,Capture malicious,RX,0,0,0,0,0
1653587437,Capture malicious,RX,0,0,0,0,0
1653587438,Capture malicious,RX,0,0,0,0,0
1653587439,Capture malicious,RX,0,0,0,0,0
1653587440,Capture malicious,RX,0,0,0,0,0
1653587441,Capture malicious,RX,0,0,0,0,0
1653587442,Capture malicious,RX,0,0,0,0,0
1653587443,Capture malicious,RX,0,0,0,0,0
1653587444,Capture malicious,RX,0.75453816517051,7267.7116069223,7388.4377133496,754539,908464956
1653587445,Capture malicious,RX,0.98411606880602,9479.0059747396,9636.4645457485,1738656,2093341824
1653587446,Capture malicious,RX,0.9866190737885,9503.1149187308,9660.973970537,2725276,3281232304
1653587447,Capture malicious,RX,0.98512391192306,9488.7135196429,9646.3333455506,3710400,4467321600
1653587448,Capture malicious,RX,0.98709962471499,9507.7435852548,9665.6795252092,4697501,5655791204
1653587449,Capture malicious,RX,0.98317887180807,9469.9788932553,9627.2875127446,5680680,6839538720
1653587450,Capture malicious,RX,0.98672058095645,9504.0926357725,9661.9679287256,6667401,8027550804
1653587451,Capture malicious,RX,0.983959299883,9477.4959764731,9634.9294644543,7651361,9212238644
1653587452,Capture malicious,RX,0.98475706453099,9485.1800455625,9642.7411758874,8636119,10397887276
1653587453,Capture malicious,RX,0.98314786448709,9469.6802307396,9626.9838890575,9619267,11581597468
1653587454,Capture malicious,RX,0.22764084311478,2192.6366008815,2229.0591357799,9846908,11855677232
1653587455,Capture malicious,RX,0,0,0,9846908,11855677232
1653587456,Capture malicious,RX,0,0,0,9846908,11855677232
1653587457,Capture malicious,RX,0,0,0,9846908,11855677232
1653587458,Capture malicious,RX,0,0,0,9846908,11855677232
1653587459,Capture malicious,RX,0,0,0,9846908,11855677232
1653587460,Capture malicious,RX,0,0,0,9846908,11855677232
1653587461,Capture malicious,RX,0,0,0,9846908,11855677232
1653587462,Capture malicious,RX,0,0,0,9846908,11855677232
1653587463,Capture malicious,RX,0,0,0,9846908,11855677232
1653587464,Capture malicious,RX,0.74240135560109,7150.8098571497,7269.5940740459,10589310,12749529240
1653587465,Capture malicious,RX,0.98370851260823,9475.0803934425,9632.4737554598,11573019,13933914876
1653587466,Capture malicious,RX,0.98431301361689,9480.9029471579,9638.3930293366,12557333,15119028932
1653587467,Capture malicious,RX,0.98517191558882,9489.1758909515,9646.8033974457,13542505,16305176020
1653587468,Capture malicious,RX,0.98327638461768,9470.9181366375,9628.2423581764,14525782,17489041528
1653587469,Capture malicious,RX,0.98200970002176,9458.7174306096,9615.8389826131,15507792,18671381568
1653587470,Capture malicious,RX,0.98286686494604,9466.9736431602,9624.2323415516,16490660,19854754640
1653587471,Capture malicious,RX,0.98042732431037,9443.4759877574,9600.3443596471,17471088,21035189952
1653587472,Capture malicious,RX,0.98266868883828,9465.0648108903,9622.2918011044,18453757,22218323428
1653587473,Capture malicious,RX,0.98206114391969,9459.2129382345,9616.3427212616,19435819,23400726076
1653587474,Capture malicious,RX,0.24084247154442,2319.7946859158,2358.3294813629,19676662,23690701048
1653587475,Capture malicious,RX,0,0,0,19676662,23690701048
1653587476,Capture malicious,RX,0,0,0,19676662,23690701048
1653587477,Capture malicious,RX,0,0,0,19676662,23690701048
1653587478,Capture malicious,RX,0,0,0,19676662,23690701048
1653587479,Capture malicious,RX,0,0,0,19676662,23690701048
1653587480,Capture malicious,RX,0,0,0,19676662,23690701048
1653587481,Capture malicious,RX,0,0,0,19676662,23690701048
1653587482,Capture malicious,RX,0,0,0,19676662,23690701048
1653587483,Capture malicious,RX,0,0,0,19676662,23690701048
1653587484,Capture malicious,RX,0.72753265579567,7007.5945406239,7123.9997655512,20404195,24566650780
1653587485,Capture malicious,RX,0.98168607841946,9455.6003073363,9612.6700798834,21385882,25748601928
1653587486,Capture malicious,RX,0.97927461695137,9432.3731104756,9589.0570491878,22365157,26927649028
1653587487,Capture malicious,RX,0.98218698902321,9460.4250782715,9617.5749965152,23347344,28110202176
1653587488,Capture malicious,RX,0.98165026495663,9455.2553520622,9612.3193944553,24328995,29292109980
1653587489,Capture malicious,RX,0.98178989759133,9456.6002935997,9613.6866772143,25310785,30474185140
1653587490,Capture malicious,RX,0.98626333498478,9499.6884425734,9657.490576171,26297049,31661646996
1653587491,Capture malicious,RX,0.9846923140345,9484.5563687803,9642.1071390258,27281742,32847217368
1653587492,Capture malicious,RX,0.98245029363688,9462.9612283104,9620.1532752923,28264193,34030088372
1653587493,Capture malicious,RX,0.98066332780097,9445.749173379,9602.6553058271,29244857,35210807828
1653587494,Capture malicious,RX,0.25384247422588,2445.0107117437,2485.6255076198,29498700,35516434800
1653587495,Capture malicious,RX,0,0,0,29498700,35516434800
1653587496,Capture malicious,RX,0,0,0,29498700,35516434800
1653587497,Capture malicious,RX,0,0,0,29498700,35516434800
1653587498,Capture malicious,RX,0,0,0,29498700,35516434800
1653587499,Capture malicious,RX,0,0,0,29498700,35516434800
1653587500,Capture malicious,RX,0,0,0,29498700,35516434800
1653587501,Capture malicious,RX,0,0,0,29498700,35516434800
1653587502,Capture malicious,RX,0,0,0,29498700,35516434800
1653587503,Capture malicious,RX,0,0,0,29498700,35516434800
1653587504,Capture malicious,RX,0.66441636141289,6399.658393129,6505.965010955,30163117,36316392868
1653587505,Capture malicious,RX,0.98331618678331,9471.3015110968,9628.6321009822,31146434,37500306536
1653587506,Capture malicious,RX,0.98585822507969,9495.7864239676,9653.5237399804,32132293,38687280772
1653587507,Capture malicious,RX,0.98300699267603,9468.3233534555,9625.6044722837,33115300,39870821200
1653587508,Capture malicious,RX,0.98623283901485,9499.3947053911,9657.1919596334,34101534,41058246936
1653587509,Capture malicious,RX,0.98485040564571,9486.0791071794,9643.6551720828,35086385,42244007540
1653587510,Capture malicious,RX,0.98403489369135,9478.224096035,9635.6696790257,36070420,43428785680
1653587511,Capture malicious,RX,0.98163567819475,9455.1148523718,9612.176560883,37052056,44610675424
1653587512,Capture malicious,RX,0.98142814812759,9453.115922765,9610.1444264654,38033485,45792315940
1653587513,Capture malicious,RX,0.98123572950129,9451.2625465564,9608.2602632767,39014721,46973724084
1653587514,Capture malicious,RX,0.32391866177963,3119.9845502614,3171.8115361461,39338641,47363723764
1653587515,Capture malicious,RX,0,0,0,39338641,47363723764
1653587516,Capture malicious,RX,0,0,0,39338641,47363723764
1653587517,Capture malicious,RX,0,0,0,39338641,47363723764
1653587518,Capture malicious,RX,0,0,0,39338641,47363723764
1653587519,Capture malicious,RX,0,0,0,39338641,47363723764
1653587520,Capture malicious,RX,0,0,0,39338641,47363723764
