Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1612570376,Capture malicious,RX,0,0,0,0,0
1612570377,Capture malicious,RX,0,0,0,0,0
1612570378,Capture malicious,RX,0,0,0,0,0
1612570379,Capture malicious,RX,0,0,0,0,0
1612570380,Capture malicious,RX,0,0,0,0,0
1612570381,Capture malicious,RX,0,0,0,0,0
1612570382,Capture malicious,RX,0,0,0,0,0
1612570383,Capture malicious,RX,0,0,0,0,0
1612570384,Capture malicious,RX,0,0,0,0,0
1612570385,Capture malicious,RX,0,0,0,0,0
1612570386,Capture malicious,RX,0,0,0,0,0
1612570387,Capture malicious,RX,0,0,0,0,0
1612570388,Capture malicious,RX,0,0,0,0,0
1612570389,Capture malicious,RX,0,0,0,0,0
1612570390,Capture malicious,RX,0,0,0,0,0
1612570391,Capture malicious,RX,0,0,0,0,0
1612570392,Capture malicious,RX,0,0,0,0,0
1612570393,Capture malicious,RX,0,0,0,0,0
1612570394,Capture malicious,RX,0.49639956736628,4781.320632872,4860.7445636506,496400,597665600
1612570395,Capture malicious,RX,0.6126345888399,5900.8963597059,5998.9178939203,1109035,1335278140
1612570396,Capture malicious,RX,0.60051194802281,5784.1310833557,5880.2129950394,1709547,2058294588
1612570397,Capture malicious,RX,0.62605566288213,6030.1681448807,6130.3370509418,2335603,2812066012
1612570398,Capture malicious,RX,0.63458978284157,6112.3687883301,6213.9031535847,2970193,3576112372
1612570399,Capture malicious,RX,0.62600949405076,6029.7234466969,6129.884965745,3596203,4329828412
1612570400,Capture malicious,RX,0.62555421939852,6025.3382412465,6125.4269163503,4221758,5082996632
1612570401,Capture malicious,RX,0.62038624307246,5975.560293274,6074.8220921656,4842145,5829942580
1612570402,Capture malicious,RX,0.63025483487785,6070.6145695434,6171.4553431239,5472400,6588769600
1612570403,Capture malicious,RX,0.63789165561757,6144.1724269084,6246.2350918072,6110292,7356791568
1612570404,Capture malicious,RX,0.042559942897896,409.93736999253,416.74696085619,6152852,7408033808
1612570405,Capture malicious,RX,0,0,0,6152852,7408033808
1612570406,Capture malicious,RX,0,0,0,6152852,7408033808
