# Timestamp(s),Bits
0,8392694376
1,6743304368
2,7521824944
3,6484494384
4,7386006136
5,7034763560
6,6251062920
7,7371560832
8,6353283856
9,7141855032
10,6424392280
11,6125101696
12,7705739520
13,6192793744
14,7206558440
15,6992927024
16,6380012976
17,7881797984
18,7031776328
19,7121954064
20,2919001952
21,4150834672
22,4792841752
23,4000592352
24,5126867696
25,4623759576
26,4341185064
27,4515957328
28,3467481672
29,4661046880
30,4136629592
31,4304912728
32,5624831440
33,5029094712
34,5800762872
35,4989083920
36,4791369008
37,5502895816
38,4899769992
39,6121949424
40,5119425176
41,4377282512
42,5669081008
43,4923406536
44,5456395056
45,4920204960
46,4763132080
47,5585916392
48,4865970984
49,5913916136
50,5205989184
51,5040072888
52,5676913328
53,5283698112
54,6147543040
55,5244588016
56,5006435976
57,5745344248
58,4669742928
59,5744949968
60,5155915168
61,3702852640
