# Timestamp(s),Bits
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,5777697408
21,2090336640
22,2565627680
23,2513277760
24,2287311040
25,2423594208
26,2083218592
27,2828388640
28,2912090720
29,2640757280
30,2418681888
31,1853659136
32,2588416992
33,2296865984
34,2769845344
35,2718949856
36,2713623360
37,3292631776
38,2473083424
39,2638590080
40,2505822592
41,3126932480
42,3160943072
43,2640843968
44,3072569472
45,3209286080
46,2869257216
47,2833214272
48,3230649856
49,2465011808
50,2631539456
51,3100020672
52,2833223904
53,2915124800
54,2477427456
55,3005636704
56,3007428256
57,2853296992
58,3791087776
59,2807583520
60,3024303520
61,3100743072
62,2853749696
63,3384270624
64,2502489920
65,2950801728
66,3077472160
67,2650562656
68,3243421888
69,2432917984
70,2402085952
71,2276600256
72,2734900448
73,2966289984
74,3223011680
75,3221547616
76,2610638016
77,2553645472
78,2669499168
79,2695168448
80,2770721856
81,2415512960
82,3459929984
83,2922329536
84,3412839136
85,2138063200
86,3300029152
87,4287328416
88,2935612064
89,3186207808
90,2309907712
91,3607174368
92,3558455712
93,2738878464
94,2865298464
95,2917783232
96,3482517024
97,3209189760
98,3179571360
99,2670279360
