Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1630851719,Capture benign,RX,0,0,0,0,0
1630851720,Capture benign,RX,0,0,0,0,0
1630851721,Capture benign,RX,0,0,0,0,0
1630851722,Capture benign,RX,0,0,0,0,0
1630851723,Capture benign,RX,0,0,0,0,0
1630851724,Capture benign,RX,0,0,0,0,0
1630851725,Capture benign,RX,0,0,0,0,0
1630851726,Capture benign,RX,0,0,0,0,0
1630851727,Capture benign,RX,0,0,0,0,0
1630851728,Capture benign,RX,0,0,0,0,0
1630851729,Capture benign,RX,0,0,0,0,0
1630851730,Capture benign,RX,0,0,0,0,0
1630851731,Capture benign,RX,0,0,0,0,0
1630851732,Capture benign,RX,0,0,0,0,0
1630851733,Capture benign,RX,0,0,0,0,0
1630851734,Capture benign,RX,0,0,0,0,0
1630851735,Capture benign,RX,0,0,0,0,0
1630851736,Capture benign,RX,0,0,0,0,0
1630851737,Capture benign,RX,0,0,0,0,0
1630851738,Capture benign,RX,0,0,0,0,0
1630851739,Capture benign,RX,0,0,0,0,0
1630851740,Capture benign,RX,0,0,0,0,0
1630851741,Capture benign,RX,0,0,0,0,0
1630851742,Capture benign,RX,0,0,0,0,0
1630851743,Capture benign,RX,0,0,0,0,0
1630851744,Capture benign,RX,0,0,0,0,0
1630851745,Capture benign,RX,0,0,0,0,0
1630851746,Capture benign,RX,0,0,0,0,0
1630851747,Capture benign,RX,0,0,0,0,0
1630851748,Capture benign,RX,0,0,0,0,0
1630851749,Capture benign,RX,0,0,0,0,0
1630851750,Capture benign,RX,0,0,0,0,0
1630851751,Capture benign,RX,0,0,0,0,0
1630851752,Capture benign,RX,0,0,0,0,0
1630851753,Capture benign,RX,0,0,0,0,0
1630851754,Capture benign,RX,0,0,0,0,0
1630851755,Capture benign,RX,0,0,0,0,0
1630851756,Capture benign,RX,0,0,0,0,0
1630851757,Capture benign,RX,0,0,0,0,0
1630851758,Capture benign,RX,0,0,0,0,0
1630851759,Capture benign,RX,0,0,0,0,0
1630851760,Capture benign,RX,0,0,0,0,0
1630851761,Capture benign,RX,0,0,0,0,0
1630851762,Capture benign,RX,0,0,0,0,0
1630851763,Capture benign,RX,0,0,0,0,0
1630851764,Capture benign,RX,0,0,0,0,0
1630851765,Capture benign,RX,0,0,0,0,0
1630851766,Capture benign,RX,0,0,0,0,0
1630851767,Capture benign,RX,0,0,0,0,0
1630851768,Capture benign,RX,0,0,0,0,0
1630851769,Capture benign,RX,0,0,0,0,0
1630851770,Capture benign,RX,0,0,0,0,0
1630851771,Capture benign,RX,0,0,0,0,0
1630851772,Capture benign,RX,0,0,0,0,0
1630851773,Capture benign,RX,0,0,0,0,0
1630851774,Capture benign,RX,0,0,0,0,0
1630851775,Capture benign,RX,0,0,0,0,0
1630851776,Capture benign,RX,0,0,0,0,0
1630851777,Capture benign,RX,0,0,0,0,0
1630851778,Capture benign,RX,0,0,0,0,0
1630851779,Capture benign,RX,0,0,0,0,0
1630851780,Capture benign,RX,0,0,0,0,0
1630851781,Capture benign,RX,0,0,0,0,0
1630851782,Capture benign,RX,0,0,0,0,0
1630851783,Capture benign,RX,0,0,0,0,0
1630851784,Capture benign,RX,0.70796013791392,6819.0720483869,6932.3456704531,707961,852385044
1630851785,Capture benign,RX,1.0212437626093,9836.6199214529,10000.01892347,1729206,2081964024
1630851786,Capture benign,RX,1.0212444397974,9836.6264441284,10000.025554496,2750451,3311543004
1630851787,Capture benign,RX,1.0212437983652,9836.6202658539,10000.019273592,3771695,4541120780
1630851788,Capture benign,RX,1.0212440122748,9836.6223262304,10000.021368194,4792940,5770699760
1630851789,Capture benign,RX,1.0212449462624,9836.6313223992,10000.030513801,5814185,7000278740
1630851790,Capture benign,RX,1.0212441111899,9836.6232789807,10000.022336771,6835430,8229857720
1630851791,Capture benign,RX,1.0212438962398,9836.6212085813,10000.02023198,7856675,9459436700
1630851792,Capture benign,RX,1.0212438787338,9836.6210399639,10000.020060561,8877919,10689014476
1630851793,Capture benign,RX,1.0212442762069,9836.6248684251,10000.023952618,9899164,11918593456
1630851794,Capture benign,RX,1.0212445881702,9836.6278732551,10000.027007362,10920409,13148172436
1630851795,Capture benign,RX,1.0212439333329,9836.6215658625,10000.020595196,11941654,14377751416
1630851796,Capture benign,RX,1.0212443618066,9836.625692921,10000.02479081,12962899,15607330396
1630851797,Capture benign,RX,1.021243667588,9836.6190062077,10000.017993022,13984143,16836908172
1630851798,Capture benign,RX,1.0212444749884,9836.6267830879,10000.025899086,15005388,18066487152
1630851799,Capture benign,RX,1.0212443960464,9836.6260227194,10000.025126087,16026633,19296066132
1630851800,Capture benign,RX,1.0212436628325,9836.6189604024,10000.017946456,17047877,20525643908
1630851801,Capture benign,RX,1.0212441492341,9836.6236454232,10000.022709301,18069122,21755222888
1630851802,Capture benign,RX,1.0212446518944,9836.6284870469,10000.02763135,19090367,22984801868
1630851803,Capture benign,RX,0.23000427886129,2215.4012139919,2252.2018986097,19463061,23433525444
