Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1654950717,Capture program 2,RX,0,0,0,0,0
1654950718,Capture program 2,RX,0,0,0,0,0
1654950719,Capture program 2,RX,0,0,0,0,0
1654950720,Capture program 2,RX,0,0,0,0,0
1654950721,Capture program 2,RX,0,0,0,0,0
1654950722,Capture program 2,RX,0,0,0,0,0
1654950723,Capture program 2,RX,0,0,0,0,0
1654950724,Capture program 2,RX,0,0,0,0,0
1654950725,Capture program 2,RX,0,0,0,0,0
1654950726,Capture program 2,RX,0,0,0,0,0
1654950727,Capture program 2,RX,0,0,0,0,0
1654950728,Capture program 2,RX,0,0,0,0,0
1654950729,Capture program 2,RX,0,0,0,0,0
1654950730,Capture program 2,RX,0,0,0,0,0
1654950731,Capture program 2,RX,0,0,0,0,0
1654950732,Capture program 2,RX,0,0,0,0,0
1654950733,Capture program 2,RX,0,0,0,0,0
1654950734,Capture program 2,RX,0,0,0,0,0
1654950735,Capture program 2,RX,0,0,0,0,0
1654950736,Capture program 2,RX,1.9999774845989e-06,0.0015039830684184,0.0018239794659542,2,188
1654950737,Capture program 2,RX,0,0,0,2,188
1654950738,Capture program 2,RX,0,0,0,2,188
1654950739,Capture program 2,RX,0,0,0,2,188
1654950740,Capture program 2,RX,0,0,0,2,188
1654950741,Capture program 2,RX,0,0,0,2,188
1654950742,Capture program 2,RX,0,0,0,2,188
1654950743,Capture program 2,RX,0,0,0,2,188
1654950744,Capture program 2,RX,0,0,0,2,188
1654950745,Capture program 2,RX,0,0,0,2,188
1654950746,Capture program 2,RX,0,0,0,2,188
1654950747,Capture program 2,RX,0,0,0,2,188
1654950748,Capture program 2,RX,0,0,0,2,188
1654950749,Capture program 2,RX,0,0,0,2,188
1654950750,Capture program 2,RX,0,0,0,2,188
1654950751,Capture program 2,RX,0,0,0,2,188
1654950752,Capture program 2,RX,0,0,0,2,188
1654950753,Capture program 2,RX,0,0,0,2,188
1654950754,Capture program 2,RX,0,0,0,2,188
1654950755,Capture program 2,RX,0,0,0,2,188
1654950756,Capture program 2,RX,0,0,0,2,188
1654950757,Capture program 2,RX,0,0,0,2,188
1654950758,Capture program 2,RX,0,0,0,2,188
1654950759,Capture program 2,RX,0,0,0,2,188
1654950760,Capture program 2,RX,0,0,0,2,188
1654950761,Capture program 2,RX,0,0,0,2,188
1654950762,Capture program 2,RX,0,0,0,2,188
1654950763,Capture program 2,RX,0,0,0,2,188
1654950764,Capture program 2,RX,0,0,0,2,188
1654950765,Capture program 2,RX,0,0,0,2,188
1654950766,Capture program 2,RX,0,0,0,2,188
1654950767,Capture program 2,RX,0,0,0,2,188
1654950768,Capture program 2,RX,0,0,0,2,188
1654950769,Capture program 2,RX,0,0,0,2,188
1654950770,Capture program 2,RX,0,0,0,2,188
1654950771,Capture program 2,RX,0,0,0,2,188
1654950772,Capture program 2,RX,0,0,0,2,188
1654950773,Capture program 2,RX,0,0,0,2,188
1654950774,Capture program 2,RX,0,0,0,2,188
1654950775,Capture program 2,RX,0,0,0,2,188
1654950776,Capture program 2,RX,0,0,0,2,188
1654950777,Capture program 2,RX,0,0,0,2,188
1654950778,Capture program 2,RX,0,0,0,2,188
1654950779,Capture program 2,RX,0,0,0,2,188
1654950780,Capture program 2,RX,0,0,0,2,188
1654950781,Capture program 2,RX,0,0,0,2,188
1654950782,Capture program 2,RX,0,0,0,2,188
1654950783,Capture program 2,RX,0,0,0,2,188
1654950784,Capture program 2,RX,0,0,0,2,188
1654950785,Capture program 2,RX,0,0,0,2,188
1654950786,Capture program 2,RX,0,0,0,2,188
1654950787,Capture program 2,RX,0,0,0,2,188
1654950788,Capture program 2,RX,0,0,0,2,188
1654950789,Capture program 2,RX,0,0,0,2,188
1654950790,Capture program 2,RX,0,0,0,2,188
1654950791,Capture program 2,RX,0,0,0,2,188
1654950792,Capture program 2,RX,0,0,0,2,188
1654950793,Capture program 2,RX,0,0,0,2,188
1654950794,Capture program 2,RX,0,0,0,2,188
1654950795,Capture program 2,RX,0,0,0,2,188
1654950796,Capture program 2,RX,0,0,0,2,188
1654950797,Capture program 2,RX,0,0,0,2,188
1654950798,Capture program 2,RX,0,0,0,2,188
1654950799,Capture program 2,RX,0,0,0,2,188
1654950800,Capture program 2,RX,0,0,0,2,188
1654950801,Capture program 2,RX,0,0,0,2,188
1654950802,Capture program 2,RX,0.57890861612473,5576.0477905134,5668.6731690933,578911,697006624
1654950803,Capture program 2,RX,1.0212405815141,9836.5892811434,9999.9877741857,1600152,1926580788
1654950804,Capture program 2,RX,1.0212408211923,9836.5915897245,9999.9901211153,2621393,3156154952
1654950805,Capture program 2,RX,1.0212410032422,9836.5933432286,9999.9919037473,3642635,4385730320
1654950806,Capture program 2,RX,1.0212408586744,9836.5919507518,9999.9904881397,4663877,5615305688
1654950807,Capture program 2,RX,1.0212413456397,9836.5966412014,9999.9952565037,5685119,6844881056
1654950808,Capture program 2,RX,1.0212406918421,9836.5903438235,9999.9888545182,6706360,8074455220
1654950809,Capture program 2,RX,1.0212407184731,9836.5906003325,9999.9891152882,7727601,9304029384
1654950810,Capture program 2,RX,1.0212413608574,9836.596787778,9999.9954055152,8748843,10533604752
1654950811,Capture program 2,RX,1.0212404179242,9836.5877054459,9999.9861723137,9770084,11763178916
1654950812,Capture program 2,RX,1.0212409771735,9836.593092135,9999.9916484828,10791325,12992753080
1654950813,Capture program 2,RX,1.0212413456397,9836.5966412014,9999.9952565037,11812567,14222328448
1654950814,Capture program 2,RX,1.0212407869526,9836.5912599272,9999.9897858396,12833808,15451902612
1654950815,Capture program 2,RX,1.0212406728201,9836.5901606028,9999.988668254,13855049,16681476776
1654950816,Capture program 2,RX,1.0212413494441,9836.5966778455,9999.9952937566,14876291,17911052144
1654950817,Capture program 2,RX,1.0212407527128,9836.5909301298,9999.9894505639,15897532,19140626308
1654950818,Capture program 2,RX,1.0212406880377,9836.5903071793,9999.9888172654,16918773,20370200472
1654950819,Capture program 2,RX,1.021241239116,9836.5956151652,9999.9942134237,17940015,21599775840
1654950820,Capture program 2,RX,1.0212408135835,9836.5915164362,9999.9900466096,18961256,22829350004
1654950821,Capture program 2,RX,1.021240699451,9836.5904171118,9999.9889290239,19982497,24058924168
1654950822,Capture program 2,RX,1.0212413798794,9836.5969709988,9999.9955917795,21003739,25288499536
1654950823,Capture program 2,RX,1.0212407717349,9836.5911133506,9999.9896368281,22024980,26518073700
1654950824,Capture program 2,RX,1.0212406804289,9836.5902338911,9999.9887427597,23046221,27747647864
1654950825,Capture program 2,RX,1.0212413266176,9836.5964579806,9999.9950702394,24067463,28977223232
1654950826,Capture program 2,RX,1.021240745104,9836.5908568415,9999.9893760582,25088704,30206797396
1654950827,Capture program 2,RX,1.0212407108642,9836.5905270442,9999.9890407825,26109945,31436371560
1654950828,Capture program 2,RX,1.021241330422,9836.5964946248,9999.9951074923,27131187,32665946928
1654950829,Capture program 2,RX,1.0212407374951,9836.5907835532,9999.9893015524,28152428,33895521092
1654950830,Capture program 2,RX,1.0212406956466,9836.5903804676,9999.9888917711,29173669,35125095256
1654950831,Capture program 2,RX,1.0212413722706,9836.5968977105,9999.9955172738,30194911,36354670624
1654950832,Capture program 2,RX,1.0212406842333,9836.5902705352,9999.9887800125,31216152,37584244788
1654950833,Capture program 2,RX,1.0212407489084,9836.5908934857,9999.989413311,32237393,38813818952
1654950834,Capture program 2,RX,1.0212413342264,9836.5965312689,9999.9951447451,33258635,40043394320
1654950835,Capture program 2,RX,1.0212409271539,9836.592610346,9999.9911586906,34279877,41272969688
1654950836,Capture program 2,RX,1.0212409233495,9836.5925737019,9999.9911214378,35301119,42502545056
1654950837,Capture program 2,RX,1.0212407374951,9836.5907835532,9999.9893015524,36322360,43732119220
